Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;79,00;30,00;58,00;44,00;71,00;30,00;11,00;19,00;11,00;13,17;119,70;8,38;23,94;0,00;16,00;5,00;11,00;0,00;44,00;33,00;8,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-01-13;67,00;46,00;27,00;46,00;51,00;24,00;16,00;19,00;3,00;2,44;70,65;8,53;13,40;0,00;29,00;3,00;19,00;0,00;27,00;24,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;75,00;27,00;45,00;37,00;53,00;27,00;5,00;8,00;19,00;10,89;68,95;8,47;24,19;0,00;43,00;21,00;13,00;0,00;11,00;13,00;11,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-01-27;49,00;23,00;39,00;31,00;18,00;39,00;5,00;10,00;5,00;10,76;76,49;0,00;20,32;0,00;5,00;5,00;8,00;0,00;18,00;5,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;75,00;26,00;52,00;18,00;44,00;36,00;0,00;5,00;3,00;20,56;77,42;4,84;25,40;0,00;18,00;5,00;10,00;0,00;26,00;15,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;22,00;25,00;28,00;33,00;17,00;11,00;8,00;3,00;8,54;53,66;10,98;8,54;3,00;19,00;8,00;6,00;0,00;33,00;19,00;14,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00
2019-02-17;72,00;22,00;33,00;14,00;25,00;19,00;3,00;14,00;5,00;6,10;63,46;2,44;17,08;0,00;5,00;0,00;8,00;0,00;30,00;27,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;41,00;27,00;47,00;33,00;25,00;16,00;8,00;14,00;3,00;6,03;73,56;2,41;21,71;0,00;19,00;8,00;5,00;0,00;30,00;11,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;40,00;32,00;29,00;19,00;43,00;24,00;5,00;11,00;3,00;0,00;66,67;0,00;13,33;0,00;13,00;13,00;11,00;0,00;40,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2019-03-10;49,00;22,00;25,00;25,00;24,00;19,00;11,00;8,00;8,00;2,39;34,66;2,39;16,73;0,00;11,00;5,00;5,00;0,00;16,00;8,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;49,00;19,00;27,00;25,00;22,00;16,00;5,00;11,00;3,00;8,37;40,63;0,00;10,76;0,00;5,00;0,00;5,00;0,00;27,00;14,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;17,00;17,00;11,00;31,00;23,00;6,00;6,00;8,00;2,38;31,00;2,38;2,38;3,00;14,00;0,00;6,00;0,00;14,00;8,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;22,00;19,00;11,00;6,00;36,00;22,00;8,00;11,00;8,00;6,11;11,00;2,44;2,44;0,00;11,00;3,00;3,00;0,00;14,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;38,00;11,00;11,00;16,00;14,00;14,00;0,00;3,00;5,00;0,00;29,69;2,38;8,31;0,00;5,00;0,00;0,00;0,00;22,00;8,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;20,00;6,00;9,00;6,00;26,00;3,00;0,00;3,00;0,00;2,35;14,12;0,00;8,24;0,00;6,00;6,00;0,00;0,00;15,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;31,00;14,00;8,00;8,00;14,00;8,00;0,00;0,00;0,00;2,48;11,16;0,00;2,48;0,00;0,00;0,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;11,00;13,00;0,00;0,00;5,00;0,00;3,00;0,00;8,00;0,00;8,56;2,44;4,89;0,00;5,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;16,00;8,00;5,00;3,00;8,00;3,00;0,00;0,00;3,00;0,00;13,54;2,46;2,46;0,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;19,00;3,00;8,00;6,00;6,00;6,00;3,00;0,00;0,00;0,00;5,94;2,38;2,38;0,00;0,00;0,00;8,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-05-19;33,00;6,00;8,00;6,00;0,00;0,00;3,00;6,00;0,00;6,11;13,44;0,00;6,11;0,00;3,00;6,00;3,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;11,00;3,00;0,00;3,00;11,00;5,00;3,00;3,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;5,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;23,00;5,00;5,00;8,00;8,00;10,00;0,00;0,00;0,00;0,00;13,32;0,00;10,89;0,00;5,00;3,00;3,00;0,00;13,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;21,00;3,00;11,00;0,00;11,00;3,00;3,00;3,00;3,00;0,00;4,94;0,00;4,94;0,00;0,00;5,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;33,00;0,00;8,00;5,00;14,00;0,00;0,00;8,00;5,00;2,44;19,56;0,00;8,56;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;19,00;5,00;27,00;5,00;11,00;5,00;0,00;3,00;0,00;0,00;34,44;5,94;5,94;0,00;0,00;0,00;5,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-06-30;19,00;0,00;14,00;3,00;13,00;13,00;0,00;0,00;3,00;2,38;21,38;0,00;8,31;0,00;0,00;0,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-07-07;24,00;8,00;8,00;0,00;3,00;5,00;0,00;3,00;3,00;0,00;19,20;2,40;13,20;0,00;0,00;0,00;5,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;27,00;8,00;13,00;5,00;24,00;8,00;0,00;3,00;0,00;2,45;13,50;2,45;4,91;0,00;0,00;0,00;5,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;25,00;14,00;19,00;8,00;19,00;0,00;0,00;3,00;0,00;0,00;29,76;0,00;0,00;0,00;8,00;0,00;3,00;0,00;14,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
