Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;51,00;43,71;21,86;21,86;7,29;7,00;15,00;44,00;15,00
2019-01-13;14,00;89,25;28,00;14,00;0,00;29,00;0,00;50,00;14,00
2019-01-20;43,00;72,91;0,00;29,91;7,48;21,00;21,00;36,00;0,00
2019-01-27;70,00;35,00;49,74;20,26;7,37;0,00;7,00;14,00;0,00
2019-02-03;28,00;14,93;28,00;35,47;7,47;14,00;7,00;14,00;7,00
2019-02-10;67,00;43,46;21,73;21,73;7,24;30,00;0,00;15,00;0,00
2019-02-17;29,00;43,50;29,00;14,50;0,00;7,00;7,00;29,00;15,00
2019-02-24;44,00;66,00;14,67;36,67;0,00;22,00;0,00;37,00;0,00
2019-03-03;36,00;43,20;14,40;48,60;0,00;14,00;14,00;36,00;7,00
2019-03-10;37,00;14,80;29,60;29,60;0,00;0,00;0,00;7,00;0,00
2019-03-17;22,00;14,67;14,67;36,67;7,33;7,00;15,00;22,00;0,00
2019-03-24;45,00;45,00;21,60;37,80;0,00;23,00;15,00;8,00;0,00
2019-03-31;52,00;29,71;14,86;44,57;0,00;30,00;7,00;22,00;22,00
2019-04-07;66,00;22,00;36,67;36,67;0,00;0,00;7,00;44,00;15,00
2019-04-14;16,00;7,11;16,00;7,11;0,00;8,00;0,00;39,00;0,00
2019-04-21;45,00;28,80;21,60;21,60;7,20;7,00;0,00;7,00;15,00
2019-04-28;65,00;29,71;14,86;0,00;7,43;14,00;0,00;0,00;0,00
2019-05-05;80,00;14,55;7,27;43,64;0,00;7,00;0,00;22,00;7,00
2019-05-12;67,00;36,22;0,00;14,49;7,24;7,00;7,00;15,00;0,00
2019-05-19;74,00;22,20;22,20;29,60;0,00;7,00;7,00;0,00;15,00
2019-05-26;64,00;7,31;29,26;21,94;0,00;0,00;14,00;7,00;21,00
2019-06-02;48,00;14,77;20,31;35,08;0,00;14,00;7,00;14,00;0,00
2019-06-09;49,00;34,48;7,26;14,52;0,00;7,00;0,00;28,00;21,00
2019-06-16;7,00;0,00;14,00;14,00;0,00;15,00;0,00;29,00;0,00
2019-06-23;80,00;14,55;36,36;21,82;7,27;0,00;0,00;15,00;0,00
2019-06-30;58,00;21,75;7,25;21,75;7,25;14,00;0,00;7,00;0,00
2019-07-07;44,00;22,00;0,00;29,33;0,00;0,00;14,00;14,00;0,00
2019-07-14;50,00;29,63;22,22;29,63;0,00;14,00;0,00;14,00;0,00
2019-07-21;60,00;7,27;60,00;7,27;0,00;7,00;15,00;0,00;7,00
2019-07-28;37,00;0,00;14,80;29,60;0,00;7,00;0,00;29,00;22,00
2019-08-04;29,00;36,25;14,50;63,44;0,00;0,00;0,00;36,00;0,00
2019-08-11;78,00;29,02;7,26;34,47;0,00;28,00;0,00;14,00;21,00
2019-08-18;44,00;7,33;29,33;29,33;0,00;7,00;7,00;7,00;0,00
2019-08-25;51,00;21,86;0,00;7,29;0,00;7,00;22,00;36,00;7,00
2019-09-01;35,00;22,11;14,74;35,00;0,00;0,00;7,00;28,00;0,00
2019-09-08;35,00;49,74;35,00;7,37;0,00;14,00;7,00;21,00;7,00
2019-09-15;7,00;47,25;21,00;33,25;0,00;21,00;7,00;28,00;7,00
2019-09-22;46,00;12,88;53,36;25,76;0,00;7,00;7,00;20,00;26,00
2019-09-29;54,00;13,03;13,03;13,03;0,00;0,00;7,00;7,00;13,00
2019-10-06;100,00;27,27;12,73;27,27;0,00;27,00;7,00;20,00;7,00
2019-10-13;47,00;33,84;28,20;54,52;0,00;13,00;7,00;13,00;13,00
2019-10-20;53,00;32,90;32,90;53,00;7,31;13,00;39,00;26,00;7,00
2019-10-27;47,00;7,23;0,00;52,42;0,00;0,00;13,00;0,00;7,00
2019-11-03;58,00;38,06;32,63;50,75;0,00;19,00;6,00;39,00;6,00
2019-11-10;32,00;24,89;44,44;7,11;0,00;13,00;6,00;26,00;6,00
2019-11-17;46,00;20,24;33,12;20,24;0,00;19,00;32,00;19,00;6,00
2019-11-24;25,00;17,86;35,71;25,00;0,00;19,00;0,00;12,00;6,00
2019-12-01;32,00;0,00;19,56;37,33;0,00;19,00;0,00;26,00;19,00
2019-12-08;53,00;53,00;25,59;20,10;12,79;7,00;7,00;13,00;7,00
2019-12-15;41,00;35,41;20,50;35,41;0,00;20,00;0,00;0,00;14,00
2019-12-22;74,00;14,80;14,80;22,20;7,40;22,00;0,00;29,00;15,00
2019-12-29;67,00;52,51;39,84;12,68;0,00;40,00;27,00;40,00;7,00
2020-01-05;19,00;96,90;32,30;26,60;5,70;25,00;12,00;25,00;0,00
2020-01-12;55,00;36,67;42,17;31,17;0,00;24,00;0,00;36,00;6,00
2020-01-19;19,00;36,27;31,09;36,27;0,00;6,00;0,00;26,00;6,00
2020-01-26;56,00;30,71;25,29;18,06;0,00;6,00;6,00;12,00;19,00
2020-02-02;31,00;69,29;31,00;62,00;0,00;31,00;6,00;37,00;6,00
2020-02-09;62,00;56,53;18,24;25,53;5,47;12,00;0,00;68,00;0,00
2020-02-16;36,00;54,00;30,60;23,40;5,40;12,00;18,00;66,00;6,00
2020-02-23;48,00;66,46;55,38;12,92;0,00;6,00;12,00;24,00;12,00
2020-03-01;54,00;64,80;41,40;23,40;5,40;6,00;12,00;30,00;24,00
2020-03-08;52,00;39,45;10,76;39,45;0,00;12,00;12,00;41,00;6,00
2020-03-15;41,00;41,00;29,82;11,18;0,00;0,00;17,00;17,00;12,00
2020-03-22;73,00;10,95;21,90;10,95;5,48;11,00;6,00;6,00;11,00
2020-03-29;38,00;27,14;10,86;21,71;0,00;11,00;16,00;0,00;11,00
2020-04-05;51,00;45,54;10,93;16,39;0,00;11,00;0,00;28,00;11,00
2020-04-12;51,00;29,14;5,46;34,61;10,93;17,00;17,00;11,00;17,00
2020-04-19;66,00;27,50;11,00;11,00;5,50;11,00;6,00;17,00;11,00
2020-04-26;81,00;10,80;5,40;16,20;0,00;0,00;0,00;16,00;5,00
2020-05-03;22,00;22,00;22,00;11,00;0,00;6,00;0,00;17,00;6,00
2020-05-10;38,00;27,14;5,43;5,43;0,00;11,00;11,00;38,00;5,00
2020-05-17;61,00;55,45;22,18;44,36;5,55;0,00;0,00;5,00;0,00
2020-05-24;24,00;11,08;11,08;42,46;0,00;18,00;18,00;18,00;12,00
2020-05-31;49,00;32,67;21,78;10,89;5,44;5,00;5,00;21,00;11,00
2020-06-07;54,00;16,20;21,60;27,00;5,40;16,00;5,00;22,00;5,00
2020-06-14;61,00;22,18;22,18;11,09;0,00;5,00;5,00;5,00;11,00
2020-06-21;79,00;27,56;16,53;22,05;5,51;11,00;0,00;22,00;11,00
2020-06-28;22,00;27,50;22,00;33,00;5,50;33,00;11,00;16,00;11,00
2020-07-05;52,00;11,14;24,14;40,86;0,00;6,00;6,00;17,00;6,00
2020-07-12;79,00;18,37;0,00;23,88;0,00;12,00;6,00;12,00;0,00
2020-07-19;37,00;24,05;18,50;31,45;12,95;6,00;12,00;12,00;12,00
2020-07-26;50,00;31,48;25,93;12,96;0,00;6,00;0,00;31,00;6,00
2020-08-02;80,00;30,91;5,45;5,45;0,00;12,00;12,00;25,00;6,00
2020-08-09;37,00;44,40;55,50;12,95;5,55;18,00;0,00;12,00;18,00
2020-08-16;67,00;36,22;18,11;23,54;0,00;0,00;6,00;18,00;12,00
2020-08-23;24,00;31,38;31,38;18,46;0,00;0,00;0,00;6,00;12,00
2020-08-30;31,00;12,76;12,76;36,47;0,00;12,00;12,00;25,00;6,00
2020-09-06;62,00;43,76;18,24;18,24;0,00;12,00;0,00;18,00;6,00
2020-09-13;62,00;31,00;18,24;43,76;5,47;0,00;0,00;12,00;6,00
2020-09-20;37,00;37,00;12,95;18,50;0,00;6,00;12,00;6,00;6,00
2020-09-27;18,00;23,40;12,60;18,00;5,40;12,00;6,00;0,00;0,00
2020-10-04;81,00;12,89;12,89;18,41;0,00;6,00;25,00;0,00;0,00
2020-10-11;32,00;19,56;12,44;19,56;7,11;13,00;0,00;13,00;0,00
2020-10-18;6,00;16,50;16,50;21,00;0,00;13,00;6,00;6,00;32,00
2020-10-25;32,00;18,82;18,82;5,65;18,82;19,00;13,00;13,00;6,00
2020-11-01;49,00;18,15;18,15;5,44;0,00;18,00;0,00;18,00;18,00
2020-11-08;37,00;12,95;24,05;24,05;5,55;24,00;6,00;24,00;6,00
2020-11-15;49,00;5,44;18,15;23,59;5,44;6,00;6,00;6,00;25,00
2020-11-22;24,00;12,92;5,54;0,00;12,92;6,00;0,00;12,00;6,00
2020-11-29;68,00;25,73;18,38;31,24;0,00;6,00;12,00;6,00;12,00
2020-12-06;6,00;28,00;28,00;6,00;0,00;13,00;0,00;13,00;0,00
