Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;43,00;453,89;14,33;4,78;19,11;15,00;26,00;6,00;12,00;6,00;8,00;5,00;0,00
2019-01-13;38,00;408,50;14,25;4,75;14,25;24,00;21,00;7,00;16,00;6,00;9,00;1,00;6,00
2019-01-20;50,00;350,00;9,09;9,09;13,64;12,00;21,00;4,00;21,00;6,00;19,00;3,00;4,00
2019-01-27;43,00;344,00;19,11;4,78;4,78;17,00;20,00;3,00;14,00;4,00;13,00;7,00;0,00
2019-02-03;45,00;337,50;4,50;9,00;18,00;11,00;33,00;3,00;20,00;13,00;9,00;4,00;3,00
2019-02-10;64,00;324,57;18,29;4,57;22,86;12,00;29,00;8,00;9,00;5,00;6,00;0,00;6,00
2019-02-17;53,00;332,45;4,82;9,64;14,45;14,00;20,00;17,00;17,00;6,00;9,00;5,00;3,00
2019-02-24;42,00;308,00;9,33;0,00;18,67;11,00;27,00;8,00;12,00;8,00;6,00;11,00;2,00
2019-03-03;50,00;318,18;4,55;4,55;13,64;21,00;19,00;7,00;16,00;9,00;7,00;4,00;1,00
2019-03-10;58,00;356,92;8,92;17,85;13,38;12,00;17,00;12,00;18,00;9,00;10,00;4,00;0,00
2019-03-17;60,00;387,69;18,46;4,62;13,85;21,00;20,00;8,00;15,00;3,00;8,00;3,00;0,00
2019-03-24;45,00;310,50;13,50;4,50;9,00;19,00;23,00;12,00;15,00;9,00;3,00;2,00;5,00
2019-03-31;61,00;370,69;14,08;9,38;18,77;31,00;18,00;11,00;23,00;6,00;9,00;3,00;0,00
2019-04-07;51,00;380,18;13,91;13,91;13,91;17,00;29,00;18,00;9,00;8,00;9,00;5,00;2,00
2019-04-14;72,00;465,60;9,60;4,80;14,40;19,00;21,00;14,00;18,00;6,00;8,00;5,00;0,00
2019-04-21;67,00;268,00;17,87;13,40;8,93;8,00;23,00;11,00;18,00;9,00;5,00;11,00;0,00
2019-04-28;38,00;299,25;14,25;9,50;14,25;24,00;15,00;10,00;12,00;9,00;6,00;7,00;3,00
2019-05-05;80,00;334,12;14,12;9,41;14,12;22,00;30,00;13,00;27,00;6,00;15,00;4,00;0,00
2019-05-12;53,00;351,73;9,64;9,64;24,09;31,00;24,00;2,00;14,00;5,00;12,00;11,00;2,00
2019-05-19;55,00;389,58;22,92;9,17;22,92;27,00;32,00;6,00;20,00;6,00;12,00;8,00;5,00
2019-05-26;70,00;317,33;4,67;23,33;9,33;26,00;28,00;6,00;15,00;4,00;15,00;10,00;3,00
2019-06-02;82,00;350,78;9,11;9,11;18,22;18,00;30,00;14,00;20,00;10,00;10,00;8,00;0,00
2019-06-09;100,00;395,45;4,55;13,64;18,18;25,00;38,00;14,00;20,00;3,00;12,00;4,00;0,00
2019-06-16;84,00;382,67;14,00;4,67;14,00;18,00;35,00;14,00;18,00;4,00;21,00;4,00;5,00
2019-06-23;96,00;402,29;13,71;13,71;32,00;26,00;22,00;13,00;12,00;12,00;12,00;15,00;6,00
2019-06-30;88,00;319,58;9,26;9,26;32,42;24,00;45,00;12,00;15,00;10,00;15,00;12,00;0,00
2019-07-07;77,00;353,29;18,12;2,26;22,65;13,00;21,00;15,00;16,00;16,00;4,00;3,00;0,00
2019-07-14;81,00;376,41;14,29;14,29;14,29;18,00;34,00;7,00;18,00;3,00;19,00;7,00;1,00
2019-07-21;92,00;409,40;18,40;4,60;18,40;20,00;35,00;11,00;18,00;6,00;12,00;5,00;0,00
2019-07-28;55,00;421,67;13,75;13,75;13,75;17,00;21,00;11,00;23,00;8,00;17,00;12,00;3,00
2019-08-04;84,00;415,33;18,67;9,33;14,00;15,00;18,00;10,00;27,00;3,00;13,00;15,00;0,00
2019-08-11;71,00;402,33;18,93;14,20;18,93;23,00;16,00;9,00;17,00;12,00;16,00;9,00;1,00
2019-08-18;63,00;337,50;18,00;4,50;18,00;17,00;23,00;9,00;14,00;6,00;12,00;5,00;5,00
2019-08-25;49,00;351,91;4,45;8,91;13,36;34,00;25,00;12,00;21,00;4,00;9,00;7,00;0,00
2019-09-01;77,00;366,88;13,59;13,59;31,71;13,00;28,00;16,00;19,00;9,00;7,00;3,00;0,00
2019-09-08;53,00;438,45;19,27;14,45;28,91;29,00;29,00;10,00;30,00;6,00;3,00;11,00;4,00
2019-09-15;75,00;468,75;28,13;9,38;18,75;25,00;19,00;12,00;14,00;10,00;20,00;6,00;1,00
2019-09-22;62,00;381,54;9,54;14,31;28,62;18,00;24,00;11,00;18,00;11,00;7,00;11,00;1,00
2019-09-29;58,00;449,50;19,33;9,67;14,50;15,00;15,00;10,00;15,00;10,00;10,00;4,00;4,00
2019-10-06;55,00;407,92;18,33;13,75;22,92;25,00;34,00;10,00;26,00;15,00;12,00;5,00;1,00
2019-10-13;45,00;351,00;22,50;13,50;18,00;16,00;12,00;15,00;10,00;7,00;7,00;0,00;0,00
2019-10-20;46,00;395,60;9,20;13,80;13,80;23,00;22,00;9,00;15,00;4,00;15,00;3,00;0,00
2019-10-27;44,00;332,44;14,67;9,78;14,67;8,00;19,00;8,00;10,00;3,00;5,00;3,00;1,00
2019-11-03;32,00;347,43;13,71;4,57;13,71;16,00;24,00;7,00;21,00;5,00;5,00;3,00;3,00
2019-11-10;25,00;370,00;15,00;10,00;15,00;12,00;17,00;16,00;8,00;4,00;5,00;8,00;1,00
2019-11-17;37,00;314,50;13,88;13,88;13,88;13,00;24,00;7,00;20,00;5,00;4,00;5,00;0,00
2019-11-24;40,00;280,00;8,89;17,78;13,33;10,00;18,00;8,00;17,00;9,00;10,00;1,00;3,00
2019-12-01;37,00;314,50;4,63;13,88;13,88;12,00;15,00;7,00;8,00;9,00;7,00;5,00;1,00
2019-12-08;22,00;264,00;17,60;8,80;13,20;11,00;15,00;11,00;14,00;8,00;7,00;4,00;1,00
2019-12-15;33,00;325,29;18,86;18,86;23,57;22,00;14,00;14,00;22,00;4,00;10,00;4,00;4,00
2019-12-22;39,00;394,88;14,63;14,63;24,38;12,00;23,00;6,00;18,00;14,00;8,00;2,00;2,00
2019-12-29;51,00;408,00;9,27;9,27;18,55;21,00;29,00;8,00;18,00;4,00;11,00;4,00;1,00
2020-01-05;61,00;422,31;14,08;9,38;28,15;17,00;22,00;12,00;26,00;9,00;6,00;9,00;1,00
2020-01-12;66,00;452,57;9,43;9,43;18,86;26,00;29,00;14,00;15,00;9,00;18,00;2,00;1,00
2020-01-19;63,00;427,50;18,00;13,50;22,50;22,00;36,00;22,00;21,00;3,00;4,00;5,00;1,00
2020-01-26;43,00;372,67;9,56;14,33;14,33;21,00;30,00;13,00;23,00;14,00;5,00;4,00;0,00
2020-02-02;69,00;345,00;9,20;9,20;13,80;19,00;23,00;12,00;24,00;13,00;9,00;8,00;5,00
2020-02-09;64,00;406,86;18,29;4,57;27,43;17,00;32,00;15,00;15,00;3,00;10,00;5,00;1,00
2020-02-16;42,00;382,67;14,00;9,33;18,67;17,00;25,00;5,00;17,00;9,00;11,00;4,00;1,00
2020-02-23;41,00;387,22;9,11;13,67;9,11;14,00;25,00;7,00;17,00;6,00;7,00;6,00;2,00
2020-03-01;29,00;396,33;9,67;9,67;19,33;26,00;16,00;11,00;15,00;10,00;15,00;5,00;0,00
2020-03-08;32,00;288,00;13,71;4,57;22,86;17,00;16,00;13,00;12,00;6,00;5,00;7,00;0,00
