Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;20,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;48,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;39,00;0,00;0,00;0,00;10,00;0,00;10,00;10,00;19,00;0,00
2019-01-20;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;19,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;28,00;28,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00
2019-02-03;19,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;19,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00
2019-02-10;19,00;19,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;10,00;41,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;20,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;51,00;61,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;30,00;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;30,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;67,00;67,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,00;29,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;100,00;80,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;63,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;74,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;39,00;29,00;10,00;0,00;10,00;10,00;0,00;10,00;0,00;0,00;10,00;49,00;0,00;0,00;0,00;29,00;10,00;0,00;0,00;0,00;0,00
2019-05-05;28,00;28,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00
2019-05-12;46,00;56,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;47,00;0,00;0,00;0,00;28,00;0,00;0,00;9,00;0,00;0,00
2019-05-19;56,00;56,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;47,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;36,00;27,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00
2019-06-02;39,00;39,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;29,00;19,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;10,00;49,00;0,00;0,00;0,00;59,00;10,00;0,00;20,00;0,00;0,00
2019-06-16;98,00;68,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;88,00;0,00;0,00;10,00;39,00;0,00;0,00;0,00;10,00;0,00
2019-06-23;78,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;39,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;10,00
2019-06-30;60,00;40,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;50,00;0,00;0,00;0,00;30,00;0,00;0,00;10,00;0,00;0,00
2019-07-07;48,00;10,00;10,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;67,00;0,00;0,00;0,00;57,00;0,00;0,00;10,00;0,00;0,00
2019-07-14;79,00;69,00;10,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00;30,00;80,00;10,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;40,00;30,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;20,00;40,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;30,00;0,00;51,00;0,00;0,00;0,00;50,00;0,00;0,00;0,00;10,00;0,00
2019-08-04;21,00;21,00;42,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;11,00;32,00;0,00;0,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;33,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,00;0,00;0,00;0,00;44,00;0,00;11,00;0,00;0,00;0,00
