Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;33,00;5,00;0,00;8,00;5,00;0,00;0,00;8,00;0,00;0,00;0,00;10,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;5,00;2,00;0,00;7,00;0,00;5,00;7,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;2,00;0,00;0,00;2,00;0,00;2,00;7,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;2,00;0,00;0,00;9,00;2,00;7,00;7,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;2,00;2,00;2,00;15,00;0,00;2,00;2,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;3,00;0,00;0,00;10,00;0,00;5,00;2,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;8,00;0,00;3,00;8,00;0,00;3,00;5,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;17,00;2,00;2,00;0,00;5,00;3,00;7,00;10,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;5,00;0,00;5,00;5,00;8,00;13,00;8,00;0,00;0,00;0,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;0,00;0,00;3,00;5,00;10,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
