Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;34,00;41,56;34,00;34,00;16,37;9,00;0,00;17,00;9,00
2019-01-13;25,00;51,32;59,21;7,89;7,89;0,00;8,00;25,00;0,00
2019-01-20;8,00;25,33;49,33;8,00;8,00;24,00;8,00;16,00;8,00
2019-01-27;16,00;41,33;0,00;16,00;0,00;8,00;0,00;8,00;0,00
2019-02-03;33,00;40,62;16,50;0,00;7,62;25,00;8,00;17,00;33,00
2019-02-10;25,00;8,75;25,00;8,75;16,25;8,00;0,00;25,00;0,00
2019-02-17;34,00;8,81;41,56;8,81;8,81;9,00;0,00;17,00;0,00
2019-02-24;67,00;9,02;50,25;9,02;0,00;8,00;17,00;0,00;8,00
2019-03-03;18,00;18,00;18,00;34,71;18,00;0,00;9,00;9,00;0,00
2019-03-10;34,00;16,37;16,37;8,81;0,00;0,00;0,00;17,00;9,00
2019-03-17;26,00;18,20;18,20;62,40;9,10;18,00;18,00;18,00;9,00
2019-03-24;52,00;34,24;25,37;0,00;17,76;0,00;0,00;9,00;35,00
2019-03-31;34,00;0,00;17,00;26,15;9,15;0,00;0,00;8,00;0,00
2019-04-07;16,00;23,38;7,38;32,00;23,38;8,00;0,00;8,00;0,00
2019-04-14;0,00;13,00;20,00;34,00;7,00;0,00;0,00;0,00;0,00
2019-04-21;45,00;0,00;9,00;18,00;0,00;0,00;0,00;9,00;9,00
2019-04-28;0,00;13,00;20,00;20,00;7,00;8,00;0,00;8,00;0,00
2019-05-05;8,00;25,33;0,00;17,33;0,00;0,00;0,00;0,00;8,00
2019-05-12;40,00;96,77;7,74;24,52;7,74;0,00;8,00;8,00;0,00
2019-05-19;56,00;127,27;15,27;7,64;7,64;0,00;8,00;8,00;16,00
2019-05-26;23,00;23,00;7,67;7,67;0,00;8,00;8,00;16,00;8,00
2019-06-02;42,00;0,00;0,00;0,00;8,91;0,00;0,00;0,00;42,00
2019-06-09;17,00;51,00;34,00;17,00;0,00;8,00;0,00;25,00;0,00
2019-06-16;51,00;17,00;0,00;17,00;17,00;8,00;8,00;0,00;8,00
2019-06-23;85,00;9,02;51,52;33,48;0,00;9,00;9,00;9,00;26,00
2019-06-30;26,00;26,00;35,10;9,10;0,00;0,00;0,00;0,00;0,00
2019-07-07;41,00;16,66;7,69;16,66;0,00;0,00;0,00;0,00;0,00
2019-07-14;51,00;42,08;0,00;8,93;25,50;0,00;0,00;0,00;9,00
2019-07-21;52,00;8,88;17,76;25,37;17,76;0,00;0,00;9,00;17,00
2019-07-28;61,00;35,04;44,13;0,00;18,17;0,00;0,00;9,00;0,00
2019-08-04;100,00;8,97;8,97;17,95;8,97;0,00;0,00;0,00;37,00
