Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;33,00;1188,00;16,50;33,00;16,50;26,00;8,00;8,00;18,00;5,00;3,00;3,00;3,00
2019-01-13;35,00;805,00;0,00;17,50;17,50;12,00;10,00;2,00;12,00;2,00;5,00;2,00;5,00
2019-01-20;33,00;825,00;0,00;16,50;16,50;26,00;12,00;2,00;12,00;2,00;9,00;5,00;0,00
2019-01-27;24,00;360,00;0,00;12,00;12,00;17,00;7,00;2,00;7,00;5,00;2,00;5,00;0,00
2019-02-03;10,00;360,00;0,00;10,00;20,00;12,00;5,00;2,00;0,00;0,00;7,00;0,00;0,00
2019-02-10;25,00;375,00;12,50;25,00;12,50;15,00;12,00;0,00;2,00;10,00;0,00;2,00;0,00
2019-02-17;28,00;448,00;14,00;28,00;28,00;18,00;15,00;3,00;0,00;8,00;5,00;3,00;0,00
2019-02-24;17,00;306,00;0,00;17,00;8,50;12,00;15,00;2,00;7,00;2,00;15,00;2,00;2,00
2019-03-03;24,00;384,00;12,00;24,00;12,00;21,00;21,00;0,00;5,00;0,00;16,00;0,00;0,00
2019-03-10;25,00;450,00;0,00;12,50;12,50;18,00;8,00;3,00;3,00;8,00;5,00;0,00;0,00
2019-03-17;23,00;368,00;0,00;23,00;23,00;16,00;18,00;3,00;3,00;10,00;5,00;8,00;0,00
2019-03-24;13,00;208,00;6,50;13,00;6,50;13,00;18,00;3,00;5,00;8,00;5,00;5,00;0,00
2019-03-31;48,00;480,00;0,00;24,00;12,00;33,00;8,00;3,00;8,00;8,00;5,00;3,00;0,00
2019-04-07;42,00;420,00;10,50;21,00;21,00;42,00;10,00;2,00;10,00;0,00;0,00;0,00;0,00
2019-04-14;69,00;2300,00;11,50;11,50;23,00;21,00;8,00;10,00;13,00;5,00;10,00;5,00;0,00
2019-04-21;81,00;675,00;13,50;27,00;27,00;38,00;27,00;11,00;11,00;3,00;8,00;11,00;0,00
2019-04-28;53,00;530,00;13,25;26,50;26,50;30,00;10,00;5,00;10,00;2,00;12,00;10,00;0,00
2019-05-05;43,00;430,00;10,75;10,75;21,50;17,00;14,00;12,00;12,00;5,00;5,00;2,00;2,00
2019-05-12;43,00;387,00;10,75;21,50;21,50;21,00;7,00;5,00;10,00;5,00;10,00;0,00;0,00
2019-05-19;57,00;570,00;14,25;28,50;57,00;19,00;36,00;5,00;14,00;5,00;2,00;0,00;7,00
2019-05-26;49,00;441,00;12,25;24,50;24,50;25,00;9,00;12,00;9,00;5,00;5,00;7,00;0,00
2019-06-02;63,00;378,00;10,50;0,00;21,00;18,00;18,00;0,00;5,00;3,00;10,00;3,00;0,00
2019-06-09;62,00;413,33;10,33;0,00;10,33;27,00;23,00;0,00;12,00;2,00;7,00;7,00;0,00
2019-06-16;60,00;420,00;0,00;10,00;20,00;38,00;15,00;8,00;7,00;8,00;7,00;0,00;5,00
2019-06-23;60,00;460,00;10,00;20,00;20,00;48,00;8,00;5,00;15,00;13,00;10,00;0,00;0,00
2019-06-30;92,00;437,00;11,50;23,00;23,00;41,00;25,00;5,00;3,00;3,00;3,00;8,00;3,00
2019-07-07;54,00;486,00;13,50;27,00;27,00;42,00;20,00;10,00;12,00;7,00;12,00;5,00;2,00
2019-07-14;73,00;486,67;0,00;12,17;24,33;23,00;25,00;8,00;15,00;3,00;13,00;3,00;5,00
2019-07-21;85,00;467,50;10,63;21,25;21,25;52,00;26,00;10,00;10,00;8,00;13,00;8,00;3,00
2019-07-28;52,00;546,00;26,00;26,00;26,00;59,00;16,00;13,00;10,00;8,00;18,00;3,00;3,00
2019-08-04;100,00;650,00;12,50;25,00;25,00;62,00;13,00;8,00;32,00;3,00;8,00;5,00;0,00
2019-08-11;90,00;562,50;11,25;11,25;45,00;45,00;28,00;8,00;22,00;8,00;14,00;3,00;0,00
2019-08-18;92,00;575,00;0,00;23,00;23,00;24,00;10,00;8,00;3,00;5,00;8,00;13,00;0,00
2019-08-25;73,00;535,33;0,00;24,33;24,33;36,00;29,00;5,00;7,00;0,00;10,00;5,00;2,00
