Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;25,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;25,00;0,00;0,00;0,00;70,83;0,00;0,00;25,00;0,00;25,00
2019-01-13;48,00;24,00;0,00;0,00;0,00;23,35;0,00;0,00;0,00;0,00;24,00;48,00;0,00;0,00;0,00;21,82;0,00;0,00;24,00;0,00;0,00
2019-01-20;0,00;0,00;47,00;23,00;0,00;18,00;0,00;0,00;0,00;15,00;0,00;44,00;0,00;0,00;0,00;26,00;0,00;30,00;15,00;0,00;0,00
2019-01-27;24,00;24,00;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;72,00;0,00;0,00
2019-02-03;0,00;0,00;0,00;24,00;0,00;19,00;0,00;0,00;0,00;0,00;31,00;31,00;15,00;0,00;0,00;22,00;11,00;0,00;0,00;0,00;15,00
2019-02-10;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;16,00;0,00;0,00;0,00;22,00;0,00;0,00;47,00;0,00;0,00
2019-02-17;0,00;0,00;25,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;16,00;0,00;0,00;0,00;23,00;0,00;0,00;48,00;0,00;16,00
2019-02-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;16,00
2019-03-03;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;11,00;0,00;0,00;16,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;22,00;0,00;0,00;15,00;0,00;0,00
2019-03-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;25,00;0,00;0,00;25,00;0,00;51,32;0,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;45,83;0,00;0,00;50,00;0,00;50,00
2019-03-31;25,00;0,00;25,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;45,83;0,00;25,00;25,00;0,00;0,00
2019-04-07;0,00;0,00;0,00;24,00;0,00;19,00;0,00;0,00;0,00;15,00;31,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;46,00;0,00;0,00
2019-04-14;25,00;25,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75,00;0,00;0,00;0,00;95,83;0,00;0,00;0,00;0,00;0,00
2019-04-21;25,00;0,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;95,83;0,00;0,00;0,00;25,00;25,00
2019-04-28;48,00;0,00;24,00;0,00;0,00;48,00;0,00;0,00;23,35;0,00;48,00;24,00;0,00;0,00;0,00;69,82;0,00;0,00;96,00;0,00;24,00
2019-05-05;24,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;48,00;48,00;24,00;24,00;0,00;0,00;129,60;0,00;24,00;0,00;0,00;24,00
2019-05-12;0,00;0,00;0,00;48,00;0,00;37,00;0,00;19,00;19,00;0,00;0,00;46,00;0,00;0,00;0,00;27,00;5,00;30,00;30,00;0,00;0,00
2019-05-19;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;96,00;0,00;0,00;0,00;52,80;0,00;48,00;24,00;0,00;0,00
2019-05-26;0,00;0,00;0,00;24,00;0,00;18,00;0,00;0,00;0,00;15,00;30,00;15,00;0,00;0,00;0,00;58,00;11,00;0,00;15,00;0,00;30,00
2019-06-02;0,00;0,00;22,00;0,00;0,00;34,00;0,00;0,00;17,00;0,00;14,00;14,00;0,00;0,00;0,00;20,00;0,00;14,00;43,00;14,00;0,00
2019-06-09;46,00;0,00;0,00;23,00;0,00;46,00;0,00;0,00;23,00;0,00;46,00;46,00;0,00;0,00;0,00;239,20;0,00;0,00;46,00;23,79;0,00
2019-06-16;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;26,00;5,00;15,00;15,00;0,00;0,00
2019-06-23;48,00;0,00;48,00;24,00;0,00;23,35;0,00;0,00;0,00;0,00;0,00;96,00;0,00;0,00;0,00;48,00;0,00;24,00;24,00;0,00;48,00
2019-06-30;24,00;0,00;72,00;0,00;0,00;24,00;0,00;24,00;24,00;0,00;72,00;48,00;0,00;0,00;0,00;129,60;0,00;24,00;72,00;0,00;24,00
2019-07-07;47,00;0,00;71,00;0,00;0,00;70,50;0,00;0,00;47,00;0,00;94,00;47,00;0,00;21,36;0,00;247,82;21,36;23,50;139,43;0,00;47,00
2019-07-14;50,00;0,00;0,00;25,00;0,00;25,00;0,00;0,00;50,00;0,00;75,81;50,00;0,00;0,00;0,00;281,82;0,00;0,00;101,61;25,81;25,81
2019-07-21;0,00;0,00;26,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;18,00;18,00;17,00;100,00;0,00;17,00
2019-07-28;0,00;0,00;0,00;52,00;0,00;40,00;0,00;0,00;0,00;33,00;33,00;33,00;0,00;0,00;0,00;100,00;6,00;0,00;66,00;0,00;33,00
2019-08-04;0,00;0,00;52,00;26,00;0,00;60,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;6,00;0,00;50,00;0,00;0,00
2019-08-11;0,00;0,00;25,00;0,00;25,00;0,00;0,00;0,00;0,00;16,00;31,00;47,00;0,00;0,00;0,00;28,00;0,00;16,00;32,00;16,00;16,00
2019-08-18;0,00;0,00;25,00;0,00;25,00;39,00;0,00;0,00;59,00;0,00;16,00;48,00;0,00;0,00;0,00;29,00;0,00;16,00;48,00;0,00;0,00
2019-08-25;24,00;24,00;49,00;24,00;0,00;0,00;0,00;0,00;46,74;0,00;49,60;24,00;0,00;0,00;0,00;88,00;0,00;24,00;49,60;0,00;0,00
2019-09-01;23,00;0,00;23,00;23,00;0,00;23,00;0,00;0,00;0,00;0,00;23,00;44,47;0,00;0,00;0,00;23,00;0,00;23,00;44,47;0,00;0,00
2019-09-08;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;18,00;0,00;15,00;30,00;0,00;0,00;0,00;21,00;0,00;0,00;15,00;0,00;0,00
2019-09-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;29,00;0,00;0,00;0,00;5,00;0,00;15,00;15,00;0,00;15,00
2019-09-22;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;17,00;0,00;28,00;14,00;0,00;0,00;0,00;10,00;0,00;0,00;14,00;14,00;0,00
2019-09-29;0,00;0,00;0,00;22,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;15,00;0,00;28,00;14,00;0,00;0,00
2019-10-06;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;5,00;0,00;0,00;14,00;0,00;14,00
2019-10-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;14,00;0,00;0,00;10,00;0,00;0,00;14,00;0,00;14,00
2019-10-20;0,00;0,00;47,00;0,00;23,00;18,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;23,00;0,00;0,00;23,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;23,00;0,00;23,00
2019-11-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;43,00;0,00;0,00;0,00;5,00;0,00;0,00;14,00;0,00;0,00
2019-11-10;0,00;0,00;0,00;23,00;0,00;17,00;0,00;0,00;17,00;0,00;0,00;14,00;0,00;0,00;0,00;10,00;0,00;14,00;0,00;0,00;0,00
2019-11-17;0,00;0,00;23,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;0,00;0,00
2019-11-24;22,00;0,00;0,00;0,00;0,00;44,00;0,00;0,00;22,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;22,00;0,00
2019-12-01;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;15,00;0,00;29,00;0,00;0,00;14,00
2019-12-08;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00
2019-12-15;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;14,00;0,00;0,00
2019-12-22;0,00;0,00;0,00;49,00;0,00;19,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;16,00;0,00;0,00
2019-12-29;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;15,00;0,00;0,00;10,00;0,00;0,00;29,00;0,00;0,00
2020-01-05;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;55,00;0,00;0,00;0,00;15,00;0,00;14,00;41,00;14,00;0,00
2020-01-12;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;24,00;0,00;0,00;13,00;0,00;13,00
2020-01-19;22,00;0,00;22,00;22,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;66,00;0,00;22,00;0,00;0,00;0,00
2020-01-26;22,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;108,43;0,00;0,00;0,00;88,00;0,00;0,00;22,00;0,00;0,00
2020-02-02;0,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;20,00;0,00;27,00;55,00;0,00;0,00
2020-02-09;21,00;0,00;0,00;43,00;0,00;43,31;0,00;0,00;21,00;0,00;21,00;0,00;0,00;0,00;0,00;79,80;0,00;0,00;87,23;0,00;21,00
2020-02-16;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;14,00;27,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;21,00;0,00;0,00;0,00;0,00;43,31;0,00;0,00;0,00;0,00;0,00;43,62;0,00;0,00;0,00;79,80;0,00;0,00;21,00;0,00;21,00
2020-03-01;63,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,48;83,48;0,00;0,00;0,00;63,00;0,00;20,48;0,00;0,00;0,00
2020-03-08;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
