Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;57,00;114,00;42,13;29,74;14,87;28,00;0,00;14,00;14,00;13,96;58,16;13,96;13,96;0,00;28,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;42,00;111,18;84,00;69,18;14,82;41,00;55,00;28,00;28,00;0,00;14,00;14,00;28,00;28,00;0,00;0,00;0,00;0,00;14,00;28,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;27,00;54,00;66,27;81,00;12,27;27,00;0,00;14,00;41,00;13,50;0,00;27,00;13,50;0,00;40,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;41,00;41,00;53,06;41,00;53,06;27,00;27,00;27,00;14,00;0,00;13,67;13,67;13,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;14,00;67,67;39,67;14,00;14,00;0,00;14,00;42,00;0,00;0,00;43,17;0,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;70,08;55,58;29,00;29,00;14,00;0,00;14,00;43,00;15,08;0,00;15,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;15,00;45,00;45,00;30,00;15,00;0,00;15,00;0,00;15,00;0,00;0,00;30,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;29,00;43,50;70,08;55,58;29,00;14,00;29,00;0,00;14,00;0,00;15,08;29,00;15,08;29,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00
2019-03-03;86,00;86,00;71,26;41,77;29,49;29,00;14,00;57,00;14,00;14,91;0,00;0,00;14,91;14,00;0,00;0,00;29,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;42,00;56,82;71,65;14,82;0,00;0,00;0,00;0,00;28,00;28,38;0,00;28,38;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;14,00;14,00;81,67;14,00;14,00;14,00;28,00;14,00;28,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;6,00;6,00;6,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;35,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;14,00;14,00;25,67;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;0,00;12,00;59,00;0,00;6,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;0,00;42,00;24,00;0,00;12,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;14,00;25,67;25,67;14,00;0,00;27,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00
2019-05-05;28,00;15,27;86,55;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;0,00;34,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;14,00;25,67;77,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;14,00;0,00;207,67;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;26,00;0,00;236,36;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;12,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;13,00;0,00;140,40;0,00;0,00;0,00;13,00;0,00;0,00;0,00;37,92;13,00;13,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;40,00;0,00;40,00;0,00;12,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;14,00;0,00;51,33;0,00;0,00;0,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;14,00;14,00;77,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;14,00;0,00;39,67;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;29,00;0,00;55,58;0,00;29,00;0,00;29,00;0,00;0,00;15,08;0,00;15,08;15,08;0,00;0,00;0,00;0,00;0,00;29,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00
2019-07-21;30,00;77,50;47,50;30,00;45,00;0,00;0,00;0,00;15,00;0,00;14,44;0,00;14,44;0,00;0,00;15,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;15,00;0,00;30,00;0,00;30,00;15,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;30,00;15,00;0,00;30,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00
2019-08-11;58,00;30,26;15,13;0,00;15,13;0,00;14,00;29,00;0,00;0,00;0,00;15,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
