Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;0,00;0,00;48,00;32,00;0,00;0,00;0,00;41,00;0,00
2019-01-13;20,00;38,75;0,00;20,00;0,00;0,00;0,00;40,00;0,00
2019-01-20;39,00;0,00;57,87;0,00;0,00;0,00;0,00;19,00;0,00
2019-01-27;59,00;20,09;59,00;59,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;40,00;20,00;20,00;0,00;0,00;0,00;0,00;20,00;0,00
2019-02-10;0,00;49,00;33,00;33,00;0,00;0,00;0,00;21,00;0,00
2019-02-17;0,00;17,00;17,00;17,00;17,00;0,00;0,00;42,00;0,00
2019-02-24;21,00;85,31;21,00;64,31;21,00;0,00;0,00;21,00;0,00
2019-03-03;21,00;43,31;43,31;21,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;16,00;16,00;16,00;0,00;0,00;0,00;20,00;0,00
2019-03-17;20,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;33,00;33,00;17,00;0,00;0,00;21,00;42,00;0,00
2019-03-31;20,00;40,00;61,25;61,25;40,00;0,00;0,00;41,00;0,00
2019-04-07;40,00;0,00;0,00;20,00;0,00;0,00;20,00;40,00;0,00
2019-04-14;0,00;16,00;0,00;16,00;0,00;0,00;0,00;0,00;42,00
2019-04-21;0,00;0,00;17,00;17,00;0,00;21,00;0,00;42,00;0,00
2019-04-28;39,00;20,13;0,00;20,13;0,00;0,00;0,00;20,00;0,00
2019-05-05;20,00;38,75;0,00;20,00;0,00;0,00;0,00;20,00;0,00
2019-05-12;20,00;20,00;20,00;20,00;0,00;0,00;0,00;40,00;0,00
2019-05-19;20,00;0,00;18,75;18,75;0,00;20,00;0,00;20,00;0,00
2019-05-26;39,00;0,00;0,00;18,87;0,00;0,00;0,00;0,00;0,00
2019-06-02;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;19,00;0,00;19,00;19,00;0,00;19,00;0,00;0,00;0,00
2019-06-16;19,00;39,27;19,00;19,00;0,00;0,00;19,00;19,00;0,00
2019-06-23;0,00;0,00;0,00;31,00;0,00;0,00;20,00;20,00;0,00
2019-06-30;20,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
