Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;39,00;468,00;26,00;13,00;13,00;20,00;33,00;7,00;26,00;7,00;7,00;7,00;0,00
2019-01-13;45,00;382,50;11,25;22,50;11,25;13,00;6,00;32,00;6,00;0,00;6,00;0,00;6,00
2019-01-20;37,00;468,67;37,00;0,00;24,67;12,00;19,00;50,00;6,00;0,00;31,00;0,00;0,00
2019-01-27;19,00;342,00;9,50;9,50;9,50;25,00;13,00;19,00;0,00;13,00;0,00;0,00;6,00
2019-02-03;13,00;507,00;26,00;26,00;0,00;45,00;39,00;0,00;6,00;19,00;6,00;0,00;0,00
2019-02-10;33,00;429,00;44,00;11,00;33,00;33,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;34,00;544,00;0,00;22,67;56,67;20,00;0,00;0,00;14,00;7,00;0,00;0,00;7,00
2019-02-24;13,00;611,00;26,00;13,00;26,00;33,00;27,00;0,00;27,00;7,00;0,00;7,00;0,00
2019-03-03;39,00;380,25;9,75;9,75;9,75;26,00;20,00;0,00;26,00;0,00;0,00;0,00;0,00
2019-03-10;6,00;234,00;18,00;6,00;12,00;13,00;32,00;6,00;6,00;6,00;0,00;6,00;0,00
2019-03-17;13,00;468,00;52,00;0,00;26,00;52,00;20,00;0,00;13,00;7,00;13,00;7,00;0,00
2019-03-24;47,00;434,75;0,00;23,50;11,75;13,00;34,00;7,00;13,00;0,00;7,00;0,00;0,00
2019-03-31;13,00;507,00;13,00;13,00;26,00;20,00;13,00;7,00;13,00;20,00;7,00;7,00;0,00
2019-04-07;26,00;585,00;13,00;13,00;26,00;32,00;26,00;26,00;13,00;0,00;0,00;0,00;0,00
2019-04-14;40,00;1000,00;20,00;20,00;0,00;13,00;27,00;33,00;7,00;7,00;0,00;7,00;7,00
2019-04-21;47,00;470,00;23,50;11,75;23,50;27,00;20,00;27,00;7,00;20,00;0,00;0,00;7,00
2019-04-28;51,00;499,80;10,20;10,20;30,60;25,00;13,00;44,00;6,00;19,00;13,00;13,00;13,00
2019-05-05;44,00;374,00;33,00;11,00;55,00;19,00;25,00;13,00;19,00;13,00;0,00;13,00;0,00
2019-05-12;64,00;320,00;10,67;0,00;21,33;19,00;32,00;19,00;6,00;19,00;0,00;13,00;0,00
2019-05-19;50,00;400,00;0,00;25,00;12,50;44,00;50,00;25,00;19,00;19,00;6,00;13,00;0,00
2019-05-26;56,00;526,40;22,40;22,40;33,60;44,00;13,00;50,00;0,00;13,00;13,00;19,00;0,00
2019-06-02;71,00;449,67;0,00;0,00;47,33;30,00;24,00;24,00;6,00;12,00;6,00;6,00;0,00
2019-06-09;80,00;377,14;22,86;22,86;22,86;25,00;6,00;18,00;6,00;19,00;0,00;6,00;0,00
2019-06-16;43,00;408,50;10,75;21,50;21,50;19,00;31,00;19,00;12,00;19,00;0,00;6,00;0,00
2019-06-23;38,00;392,67;12,67;12,67;38,00;32,00;0,00;13,00;13,00;13,00;0,00;0,00;6,00
2019-06-30;95,00;486,88;0,00;11,88;130,63;57,00;25,00;25,00;25,00;6,00;0,00;13,00;6,00
2019-07-07;100,00;544,44;22,22;22,22;55,56;44,00;44,00;31,00;19,00;44,00;19,00;6,00;6,00
2019-07-14;66,00;517,00;33,00;22,00;44,00;40,00;13,00;26,00;40,00;40,00;7,00;7,00;0,00
2019-07-21;91,00;546,00;34,13;45,50;45,50;28,00;70,00;63,00;21,00;14,00;7,00;0,00;35,00
2019-07-28;76,00;575,43;21,71;21,71;54,29;41,00;49,00;14,00;14,00;35,00;7,00;0,00;7,00
2019-08-04;55,00;484,00;22,00;33,00;44,00;14,00;14,00;28,00;21,00;28,00;14,00;7,00;7,00
2019-08-11;59,00;542,80;23,60;11,80;23,60;40,00;33,00;13,00;20,00;13,00;7,00;0,00;13,00
2019-08-18;61,00;488,00;24,40;48,80;12,20;13,00;0,00;47,00;20,00;14,00;7,00;7,00;7,00
