Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;27,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,77;61,27;0,00;0,00;0,00;34,20;0,00;0,00;7,00;0,00;0,00
2019-01-13;27,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,73;27,00;0,00;0,00;0,00;27,00;0,00;0,00;13,00;0,00;0,00
2019-01-20;13,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;52,00;0,00;0,00;0,00;20,43;0,00;0,00;0,00;0,00;0,00
2019-01-27;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;52,50;0,00;0,00;0,00;50,75;0,00;0,00;13,00;7,00;0,00
2019-02-03;19,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;50,00;0,00;0,00;0,00;50,09;0,00;0,00;7,00;7,00;0,00
2019-02-10;46,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;6,13;19,42;0,00;0,00;0,00;25,76;0,00;0,00;13,00;13,00;0,00
2019-02-17;33,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,41;19,59;0,00;0,00;0,00;45,83;0,00;0,00;7,00;0,00;0,00
2019-02-24;20,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;33,68;0,00;0,00;0,00;25,45;0,00;0,00;13,00;0,00;0,00
2019-03-03;66,00;20,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,59;0,00;0,00;0,00;40,33;0,00;0,00;0,00;0,00;0,00
2019-03-10;53,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;6,12;32,62;0,00;0,00;0,00;40,21;0,00;0,00;0,00;7,00;0,00
2019-03-17;20,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;53,00;0,00;0,00;0,00;7,27;0,00;0,00;0,00;0,00;7,00
2019-03-24;34,00;7,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;13,39;20,61;0,00;0,00;0,00;14,32;0,00;0,00;14,00;7,00;0,00
2019-03-31;55,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,26;28,02;7,26;0,00;0,00;20,17;0,00;0,00;7,00;0,00;0,00
2019-04-07;34,00;20,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;40,18;0,00;0,00;0,00;34,00;0,00;0,00;0,00;7,00;0,00
2019-04-14;42,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,34;27,66;0,00;0,00;0,00;27,39;0,00;0,00;0,00;0,00;7,00
2019-04-21;49,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,30;35,45;0,00;0,00;0,00;41,74;0,00;0,00;7,00;0,00;0,00
2019-04-28;47,00;7,00;13,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;7,15;47,00;0,00;0,00;0,00;19,88;0,00;0,00;7,00;13,00;0,00
2019-05-05;55,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,49;62,26;0,00;0,00;0,00;55,00;0,00;0,00;0,00;7,00;0,00
2019-05-12;49,00;14,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,30;63,60;0,00;0,00;0,00;27,22;0,00;0,00;0,00;0,00;0,00
2019-05-19;49,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,15;0,00;0,00;0,00;41,74;0,00;0,00;0,00;14,00;7,00
2019-05-26;100,00;21,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,22;43,30;0,00;0,00;0,00;63,64;0,00;0,00;7,00;14,00;0,00
2019-06-02;42,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,17;90,15;0,00;0,00;0,00;182,61;0,00;0,00;7,00;7,00;14,00
2019-06-09;55,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;13,24;40,74;68,24;0,00;0,00;7,10;40,81;0,00;0,00;7,00;7,00;7,00
2019-06-16;21,00;0,00;7,00;0,00;14,00;0,00;0,00;7,00;0,00;0,00;35,70;63,00;0,00;0,00;0,00;59,18;0,00;0,00;0,00;0,00;0,00
2019-06-23;50,00;7,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00;0,00;0,00;0,00;42,59;0,00;0,00;0,00;0,00;0,00
2019-06-30;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;15,00;30,00;0,00;0,00;0,00;37,50;7,50;0,00;7,00;0,00;7,00
2019-07-07;41,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,18;68,68;0,00;0,00;7,13;48,13;0,00;0,00;7,00;0,00;0,00
2019-07-14;42,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,49;20,49;0,00;0,00;0,00;42,00;7,30;0,00;0,00;0,00;0,00
