Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;33,00;0,00;2,00;4,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;4,00;0,00;6,00;6,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;30,00;4,00;4,00;6,00;0,00;0,00;8,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;34,00;0,00;0,00;6,00;4,00;0,00;7,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;22,00;4,00;0,00;6,00;6,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;4,00;0,00;7,00;4,00;2,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;45,00;0,00;2,00;0,00;2,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-24;26,00;6,00;0,00;7,00;2,00;0,00;7,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;2,00
2019-03-03;49,00;8,00;0,00;6,00;2,00;0,00;7,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;2,00;2,00;4,00;2,00;0,00;13,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;35,00;4,00;0,00;0,00;0,00;0,00;8,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;47,00;4,00;0,00;4,00;0,00;2,00;16,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;8,00;2,00;4,00;2,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00
2019-04-07;31,00;4,00;2,00;4,00;6,00;0,00;6,00;8,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;40,00;4,00;2,00;6,00;2,00;0,00;10,00;6,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00
2019-04-21;55,00;6,00;2,00;2,00;2,00;0,00;18,00;10,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;40,00;8,00;0,00;2,00;2,00;0,00;15,00;6,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;41,00;2,00;2,00;8,00;0,00;0,00;10,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;70,00;10,00;0,00;0,00;2,00;2,00;8,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;52,00;12,00;2,00;8,00;2,00;0,00;20,00;10,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;12,00;0,00;6,00;2,00;4,00;8,00;10,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;50,00;2,00;2,00;8,00;4,00;0,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-06-09;44,00;0,00;0,00;2,00;8,00;2,00;12,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00
2019-06-16;51,00;8,00;0,00;4,00;2,00;4,00;22,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;75,00;4,00;0,00;2,00;2,00;0,00;22,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;40,00;10,00;4,00;8,00;4,00;0,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;53,00;8,00;4,00;8,00;4,00;2,00;20,00;10,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;42,00;12,00;2,00;6,00;4,00;0,00;16,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
