Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;95,00;17,00;35,00;8,00;4,00;17,00;3,00;35,00;5,00
2019-01-13;71,00;18,00;15,00;5,00;3,00;15,00;3,00;42,00;0,00
2019-01-20;74,00;19,00;23,00;4,00;3,00;18,00;1,00;43,00;1,00
2019-01-27;64,00;11,00;24,00;6,00;3,00;19,00;0,00;38,00;4,00
2019-02-03;65,00;14,00;19,00;2,00;1,00;16,00;2,00;36,00;1,00
2019-02-10;67,00;16,00;18,00;5,00;0,00;11,00;0,00;31,00;8,00
2019-02-17;92,00;18,00;23,00;6,00;0,00;29,00;3,00;34,00;1,00
2019-02-24;74,00;9,00;19,00;11,00;0,00;19,00;5,00;39,00;5,00
2019-03-03;100,00;18,00;14,00;3,00;0,00;15,00;3,00;29,00;3,00
2019-03-10;79,00;10,00;11,00;9,00;0,00;13,00;1,00;28,00;5,00
2019-03-17;74,00;10,00;21,00;5,00;0,00;16,00;1,00;27,00;1,00
2019-03-24;89,00;5,00;10,00;13,00;1,00;14,00;4,00;29,00;8,00
2019-03-31;70,00;12,00;12,00;9,00;0,00;7,00;1,00;24,00;11,00
2019-04-07;40,00;8,00;17,00;3,00;0,00;17,00;3,00;30,00;4,00
2019-04-14;60,00;9,00;20,00;4,00;0,00;16,00;1,00;34,00;7,00
2019-04-21;76,00;12,00;16,00;5,00;1,00;15,00;1,00;31,00;4,00
2019-04-28;71,00;10,00;13,00;6,00;3,00;13,00;0,00;28,00;0,00
2019-05-05;75,00;5,00;5,00;9,00;0,00;12,00;3,00;10,00;5,00
2019-05-12;70,00;7,00;8,00;7,00;1,00;15,00;1,00;25,00;11,00
2019-05-19;71,00;7,00;8,00;8,00;1,00;19,00;1,00;31,00;3,00
2019-05-26;71,00;4,00;11,00;5,00;0,00;10,00;0,00;36,00;5,00
2019-06-02;67,00;12,00;12,00;11,00;4,00;12,00;3,00;28,00;1,00
2019-06-09;72,00;5,00;16,00;3,00;0,00;17,00;1,00;35,00;4,00
2019-06-16;69,00;8,00;26,00;11,00;0,00;12,00;0,00;37,00;3,00
2019-06-23;59,00;18,00;54,00;7,00;1,00;8,00;0,00;34,00;4,00
2019-06-30;87,00;17,00;11,00;8,00;1,00;11,00;1,00;34,00;3,00
2019-07-07;56,00;12,00;9,00;5,00;0,00;7,00;1,00;28,00;3,00
2019-07-14;56,00;9,00;11,00;9,00;1,00;7,00;1,00;42,00;5,00
2019-07-21;70,00;7,00;15,00;6,00;0,00;14,00;1,00;36,00;6,00
2019-07-28;63,00;12,00;16,00;11,00;1,00;16,00;1,00;36,00;1,00
2019-08-04;73,00;7,00;12,00;5,00;3,00;11,00;3,00;39,00;9,00
2019-08-11;80,00;14,00;12,00;10,00;0,00;13,00;1,00;27,00;5,00
2019-08-18;75,00;6,00;6,00;8,00;3,00;16,00;1,00;23,00;3,00
2019-08-25;94,00;8,00;15,00;4,00;0,00;9,00;1,00;28,00;5,00
2019-09-01;61,00;5,00;12,00;10,00;1,00;11,00;1,00;34,00;5,00
2019-09-08;66,00;8,00;4,00;10,00;1,00;12,00;1,00;24,00;4,00
2019-09-15;61,00;5,00;22,00;8,00;1,00;18,00;2,00;33,00;5,00
2019-09-22;65,00;12,00;17,00;15,00;2,00;15,00;2,00;29,00;4,00
