Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;33,00;671,00;5,50;11,00;11,00;12,00;15,00;41,00;6,00;0,00;0,00;2,00;2,00
2019-01-13;40,00;813,33;6,67;6,67;13,33;13,00;17,00;19,00;6,00;2,00;0,00;4,00;4,00
2019-01-20;30,00;855,00;7,50;7,50;15,00;15,00;8,00;38,00;8,00;4,00;8,00;4,00;2,00
2019-01-27;34,00;589,33;0,00;11,33;11,33;17,00;17,00;22,00;7,00;7,00;2,00;4,00;2,00
2019-02-03;22,00;594,00;5,50;11,00;11,00;17,00;22,00;39,00;6,00;2,00;4,00;4,00;0,00
2019-02-10;41,00;738,00;6,83;13,67;27,33;13,00;22,00;34,00;7,00;6,00;6,00;7,00;4,00
2019-02-17;45,00;675,00;5,63;22,50;22,50;19,00;19,00;22,00;0,00;8,00;0,00;0,00;2,00
2019-02-24;26,00;741,00;6,50;13,00;13,00;11,00;9,00;35,00;4,00;2,00;2,00;9,00;2,00
2019-03-03;49,00;759,50;6,13;12,25;6,13;15,00;13,00;32,00;9,00;0,00;6,00;2,00;4,00
2019-03-10;30,00;945,00;15,00;15,00;15,00;17,00;21,00;43,00;2,00;8,00;4,00;9,00;2,00
2019-03-17;35,00;700,00;5,83;11,67;11,67;14,00;13,00;35,00;12,00;6,00;2,00;17,00;0,00
2019-03-24;47,00;646,25;0,00;11,75;11,75;12,00;12,00;43,00;2,00;6,00;0,00;8,00;0,00
2019-03-31;47,00;763,75;5,88;23,50;23,50;16,00;12,00;37,00;6,00;4,00;0,00;12,00;2,00
2019-04-07;31,00;961,00;7,75;15,50;31,00;10,00;23,00;31,00;12,00;6,00;2,00;10,00;2,00
2019-04-14;40,00;1333,33;6,67;26,67;26,67;18,00;16,00;54,00;6,00;4,00;2,00;6,00;0,00
2019-04-21;55,00;770,00;0,00;13,75;6,88;18,00;20,00;37,00;6,00;6,00;2,00;6,00;4,00
2019-04-28;40,00;800,00;6,67;26,67;13,33;21,00;17,00;34,00;2,00;8,00;2,00;6,00;6,00
