Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;18,00;29,25;31,50;24,75;184,50;35,00;26,00;17,00;7,00
2019-04-28;16,00;38,86;29,71;25,14;189,71;29,00;26,00;16,00;8,00
2019-05-05;15,00;35,00;32,50;27,50;192,50;31,00;18,00;20,00;8,00
2019-05-12;15,00;30,00;32,50;30,00;202,50;28,00;24,00;20,00;7,00
2019-05-19;16,00;29,71;29,71;27,43;173,71;27,00;23,00;21,00;9,00
2019-05-26;14,00;37,33;35,00;23,33;203,00;23,00;30,00;18,00;9,00
2019-06-02;16,00;36,57;32,00;25,14;196,57;31,00;25,00;21,00;10,00
2019-06-09;16,00;25,14;34,29;25,14;201,14;30,00;18,00;21,00;9,00
2019-06-16;17,00;26,71;31,57;26,71;230,71;30,00;25,00;21,00;9,00
2019-06-23;14,00;32,67;30,33;28,00;233,33;30,00;20,00;23,00;9,00
2019-06-30;15,00;55,00;22,50;30,00;227,50;27,00;26,00;20,00;9,00
2019-07-07;17,00;41,29;38,86;29,14;225,86;28,00;24,00;20,00;8,00
2019-07-14;18,00;48,86;41,14;38,57;231,43;33,00;29,00;23,00;8,00
2019-07-21;17,00;48,57;41,29;31,57;230,71;37,00;23,00;24,00;8,00
2019-07-28;17,00;41,29;41,29;34,00;235,57;34,00;33,00;25,00;8,00
2019-08-04;20,00;32,50;32,50;32,50;247,50;38,00;33,00;22,00;8,00
2019-08-11;16,00;36,57;22,86;34,29;228,57;28,00;29,00;20,00;7,00
2019-08-18;15,00;35,00;25,00;35,00;230,00;39,00;24,00;20,00;7,00
2019-08-25;14,00;39,67;30,33;28,00;203,00;31,00;19,00;19,00;8,00
2019-09-01;15,00;40,00;32,50;27,50;212,50;35,00;25,00;21,00;9,00
2019-09-08;16,00;41,14;29,71;27,43;196,57;31,00;29,00;24,00;8,00
2019-09-15;14,00;35,00;37,33;32,67;182,00;34,00;24,00;24,00;8,00
2019-09-22;17,00;41,29;43,71;29,14;206,43;37,00;20,00;21,00;8,00
2019-09-29;19,00;35,63;35,63;30,88;199,50;37,00;21,00;23,00;8,00
2019-10-06;18,00;29,25;36,00;29,25;186,75;35,00;23,00;22,00;7,00
2019-10-13;16,00;38,86;36,57;25,14;192,00;38,00;29,00;21,00;7,00
2019-10-20;15,00;45,00;35,00;30,00;230,00;35,00;26,00;24,00;7,00
2019-10-27;14,00;44,33;30,33;35,00;217,00;100,00;21,00;21,00;7,00
2019-11-03;12,00;38,40;33,60;28,80;199,20;41,00;18,00;20,00;7,00
2019-11-10;12,00;50,40;31,20;28,80;187,20;43,00;21,00;21,00;7,00
2019-11-17;12,00;43,20;33,60;26,40;182,40;37,00;25,00;20,00;8,00
2019-11-24;12,00;33,60;31,20;28,80;168,00;39,00;19,00;16,00;7,00
2019-12-01;12,00;36,00;26,40;31,20;187,20;34,00;25,00;18,00;7,00
2019-12-08;13,00;30,33;26,00;19,50;160,33;32,00;21,00;16,00;7,00
2019-12-15;14,00;32,67;30,33;23,33;184,33;29,00;22,00;21,00;8,00
2019-12-22;17,00;48,57;38,86;24,29;204,00;38,00;28,00;22,00;10,00
2019-12-29;16,00;36,57;36,57;29,71;198,86;49,00;23,00;22,00;9,00
2020-01-05;15,00;40,00;40,00;32,50;190,00;41,00;32,00;23,00;10,00
2020-01-12;18,00;33,75;42,75;31,50;175,50;40,00;25,00;25,00;10,00
2020-01-19;14,00;39,67;21,00;28,00;179,67;39,00;21,00;24,00;10,00
2020-01-26;12,00;36,00;26,40;26,40;180,00;31,00;19,00;19,00;8,00
2020-02-02;12,00;38,40;33,60;28,80;192,00;29,00;25,00;21,00;8,00
2020-02-09;14,00;28,00;39,67;25,67;196,00;31,00;28,00;22,00;9,00
2020-02-16;17,00;34,00;34,00;31,57;208,86;29,00;22,00;24,00;9,00
2020-02-23;14,00;32,67;25,67;23,33;182,00;27,00;19,00;22,00;10,00
2020-03-01;12,00;36,00;31,20;21,60;163,20;23,00;18,00;23,00;9,00
2020-03-08;11,00;24,20;22,00;19,80;143,00;14,00;18,00;17,00;11,00
2020-03-15;7,00;21,00;16,33;11,67;95,67;11,00;12,00;11,00;8,00
2020-03-22;6,00;12,00;8,00;8,00;44,00;11,00;6,00;7,00;6,00
2020-03-29;6,00;12,00;14,00;6,00;44,00;10,00;8,00;5,00;4,00
2020-04-05;5,00;10,00;5,00;7,50;47,50;8,00;5,00;6,00;5,00
2020-04-12;4,00;10,00;10,00;8,00;36,00;10,00;8,00;6,00;4,00
2020-04-19;3,00;12,00;3,00;9,00;57,00;8,00;4,00;6,00;4,00
2020-04-26;3,00;15,00;12,00;9,00;60,00;7,00;3,00;6,00;3,00
2020-05-03;4,00;6,00;8,00;6,00;46,00;8,00;5,00;7,00;4,00
2020-05-10;4,00;8,00;10,00;6,00;54,00;8,00;6,00;7,00;4,00
2020-05-17;4,00;8,00;6,00;6,00;62,00;9,00;4,00;7,00;4,00
2020-05-24;4,00;8,00;8,00;4,00;72,00;7,00;6,00;7,00;4,00
2020-05-31;5,00;10,00;15,00;7,50;117,50;9,00;8,00;7,00;4,00
2020-06-07;6,00;24,00;18,00;9,00;141,00;8,00;6,00;7,00;4,00
2020-06-14;7,00;16,33;14,00;7,00;119,00;11,00;13,00;8,00;4,00
2020-06-21;6,00;18,00;16,00;8,00;112,00;9,00;14,00;10,00;4,00
