Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;50,00;58,00;7,00;10,00;6,00;15,91;92,05;5,68;22,73
2019-01-13;45,00;72,00;19,00;10,00;6,00;16,15;87,69;8,08;21,92
2019-01-20;42,00;55,00;10,00;12,00;4,00;14,00;80,50;8,17;21,00
2019-01-27;44,00;62,00;9,00;11,00;4,00;12,74;83,37;5,79;22,00
2019-02-03;42,00;72,00;18,00;11,00;4,00;12,83;92,17;7,00;23,33
2019-02-10;43,00;65,00;16,00;10,00;3,00;13,95;91,81;5,81;23,24
2019-02-17;49,00;61,00;25,00;13,00;4,00;15,17;75,83;7,00;24,50
2019-02-24;47,00;67,00;17,00;13,00;3,00;14,90;80,24;6,88;24,07
2019-03-03;43,00;64,00;10,00;13,00;6,00;11,62;82,51;6,97;24,41
2019-03-10;42,00;59,00;15,00;10,00;5,00;11,67;70,00;7,00;24,50
2019-03-17;48,00;78,00;15,00;11,00;3,00;13,71;77,71;4,57;22,86
2019-03-24;41,00;69,00;9,00;11,00;3,00;14,81;63,78;7,97;22,78
2019-03-31;45,00;61,00;23,00;12,00;5,00;12,69;84,23;5,77;24,23
2019-04-07;42,00;66,00;8,00;9,00;6,00;12,49;74,92;7,95;20,43
2019-04-14;36,00;53,00;11,00;13,00;5,00;15,10;69,68;8,13;22,06
2019-04-21;42,00;63,00;24,00;10,00;2,00;14,00;80,50;8,17;21,00
2019-04-28;39,00;61,00;13,00;9,00;4,00;14,91;84,88;5,74;22,94
2019-05-05;40,00;58,00;19,00;11,00;4,00;14,86;72,00;5,71;21,71
2019-05-12;42,00;48,00;21,00;13,00;6,00;11,67;80,50;7,00;24,50
2019-05-19;38,00;46,00;22,00;10,00;5,00;11,52;63,33;6,91;24,18
2019-05-26;40,00;45,00;19,00;11,00;6,00;15,29;83,53;7,06;23,53
2019-06-02;40,00;51,00;15,00;13,00;7,00;14,86;86,86;8,00;26,29
2019-06-09;47,00;89,00;21,00;14,00;7,00;17,20;85,98;6,88;22,93
2019-06-16;54,00;72,00;17,00;16,00;4,00;14,94;80,43;8,04;26,43
2019-06-23;42,00;72,00;19,00;15,00;4,00;15,89;69,24;5,68;23,84
2019-06-30;54,00;100,00;20,00;13,00;6,00;18,78;90,39;9,39;25,83
2019-07-07;52,00;81,00;29,00;11,00;8,00;20,80;99,38;8,09;24,27
2019-07-14;51,00;71,00;17,00;17,00;8,00;19,70;97,36;8,11;24,34
2019-07-21;48,00;61,00;21,00;16,00;5,00;19,43;92,57;8,00;24,00
2019-07-28;65,00;71,00;18,00;15,00;9,00;19,73;88,21;6,96;22,05
2019-08-04;57,00;81,00;18,00;14,00;6,00;18,61;91,90;8,14;19,78
2019-08-11;43,00;68,00;5,00;12,00;7,00;16,27;83,68;5,81;22,08
2019-08-18;38,00;56,00;9,00;13,00;5,00;18,42;93,27;9,21;19,58
2019-08-25;41,00;46,00;16,00;11,00;6,00;15,94;80,86;6,83;19,36
2019-09-01;41,00;58,00;5,00;10,00;7,00;14,81;84,28;9,11;19,36
2019-09-08;41,00;64,00;16,00;13,00;6,00;15,23;80,83;8,20;19,91
2019-09-15;46,00;53,00;21,00;10,00;5,00;14,95;81,65;11,50;19,55
2019-09-22;35,00;52,00;13,00;11,00;5,00;12,83;68,83;10,50;21,00
2019-09-29;37,00;49,00;17,00;10,00;6,00;13,88;72,84;9,25;21,97
2019-10-06;38,00;50,00;14,00;11,00;5,00;11,52;84,06;10,36;20,73
2019-10-13;40,00;58,00;10,00;10,00;4,00;12,57;65,14;18,29;22,86
2019-10-20;36,00;47,00;23,00;11,00;6,00;12,77;69,68;30,19;32,52
2019-10-27;39,00;49,00;11,00;12,00;3,00;13,76;81,44;18,35;24,09
2019-11-03;38,00;51,00;5,00;10,00;6,00;14,97;61,03;9,21;21,88
2019-11-10;36,00;51,00;9,00;9,00;5,00;15,75;73,13;7,88;21,38
2019-11-17;35,00;42,00;12,00;8,00;4,00;14,00;70,00;9,33;21,00
2019-11-24;41,00;45,00;12,00;9,00;6,00;14,06;67,94;9,37;23,43
2019-12-01;38,00;45,00;17,00;10,00;4,00;13,82;79,45;10,36;23,03
2019-12-08;36,00;57,00;10,00;11,00;7,00;15,10;65,03;12,77;23,23
2019-12-15;36,00;51,00;17,00;10,00;7,00;13,94;67,35;15,10;24,39
2019-12-22;42,00;60,00;17,00;10,00;6,00;14,00;79,33;14,00;25,67
2019-12-29;48,00;73,00;16,00;9,00;8,00;14,86;83,43;14,86;27,43
2020-01-05;43,00;70,00;10,00;12,00;7,00;17,43;99,95;13,95;26,73
2020-01-12;41,00;72,00;12,00;10,00;6,00;13,67;113,89;11,39;27,33
2020-01-19;44,00;74,00;19,00;11,00;3,00;12,74;89,16;8,11;27,79
2020-01-26;41,00;57,00;13,00;11,00;5,00;14,06;83,17;10,54;24,60
2020-02-02;46,00;73,00;12,00;10,00;3,00;12,65;79,35;11,50;23,00
2020-02-09;39,00;59,00;19,00;8,00;4,00;10,32;78,00;9,18;21,79
2020-02-16;47,00;59,00;16,00;11,00;4,00;16,05;80,24;10,32;24,07
2020-02-23;41,00;55,00;9,00;10,00;4,00;13,67;72,89;7,97;22,78
2020-03-01;40,00;52,00;7,00;8,00;6,00;10,29;64,00;8,00;24,00
2020-03-08;38,00;34,00;10,00;9,00;7,00;9,21;70,24;13,82;57,58
2020-03-15;21,00;30,00;4,00;6,00;3,00;5,83;42,00;9,33;28,00
2020-03-22;17,00;12,00;5,00;4,00;3,00;4,86;23,07;6,07;15,79
2020-03-29;14,00;19,00;3,00;5,00;1,00;2,33;24,50;5,83;12,83
2020-04-05;12,00;12,00;2,00;3,00;2,00;2,40;16,80;4,80;12,00
2020-04-12;12,00;21,00;7,00;4,00;2,00;3,60;14,40;4,80;10,80
2020-04-19;12,00;18,00;3,00;4,00;2,00;3,60;13,20;3,60;12,00
2020-04-26;10,00;14,00;5,00;4,00;2,00;3,33;18,89;3,33;12,22
2020-05-03;9,00;17,00;6,00;3,00;1,00;3,38;14,63;5,63;12,38
2020-05-10;14,00;24,00;5,00;4,00;2,00;5,83;26,83;5,83;12,83
2020-05-17;13,00;14,00;3,00;5,00;1,00;5,42;26,00;5,42;13,00
2020-05-24;17,00;17,00;7,00;5,00;1,00;4,53;23,80;5,67;13,60
2020-05-31;24,00;34,00;6,00;6,00;2,00;6,86;33,14;4,57;13,71
2020-06-07;24,00;29,00;5,00;7,00;3,00;8,00;35,43;5,71;16,00
2020-06-14;27,00;27,00;5,00;6,00;3,00;9,39;42,26;5,87;18,78
2020-06-21;26,00;36,00;10,00;7,00;2,00;9,45;37,82;5,91;16,55
2020-06-28;29,00;42,00;4,00;10,00;2,00;10,44;40,60;5,80;15,08
2020-07-05;29,00;29,00;5,00;10,00;1,00;10,44;46,40;6,96;15,08
2020-07-12;31,00;25,00;9,00;10,00;3,00;9,19;43,63;5,74;13,78
2020-07-19;24,00;25,00;12,00;7,00;4,00;11,43;41,14;6,86;14,86
2020-07-26;24,00;18,00;5,00;8,00;4,00;8,00;28,57;5,71;13,71
2020-08-02;25,00;21,00;11,00;8,00;3,00;9,09;28,41;5,68;13,64
2020-08-09;23,00;24,00;12,00;6,00;5,00;10,35;27,60;5,75;13,80
2020-08-16;21,00;27,00;7,00;7,00;3,00;5,53;29,84;5,53;13,26
2020-08-23;19,00;27,00;4,00;6,00;3,00;7,13;23,75;7,13;13,06
2020-08-30;22,00;20,00;7,00;5,00;5,00;5,79;27,79;8,11;13,89
2020-09-06;23,00;17,00;6,00;5,00;4,00;8,05;26,45;4,60;13,80
2020-09-13;19,00;22,00;11,00;6,00;2,00;8,31;26,13;5,94;13,06
2020-09-20;18,00;21,00;7,00;5,00;3,00;5,63;22,50;5,63;13,50
2020-09-27;14,00;22,00;7,00;4,00;2,00;4,67;23,33;5,83;14,00
2020-10-04;21,00;21,00;2,00;4,00;2,00;4,67;29,17;7,00;15,17
2020-10-11;21,00;14,00;1,00;5,00;3,00;4,67;26,83;7,00;16,33
2020-10-18;22,00;19,00;5,00;6,00;1,00;3,47;20,84;5,79;16,21
2020-10-25;17,00;21,00;8,00;4,00;3,00;3,40;27,20;5,67;15,87
2020-11-01;14,00;18,00;4,00;3,00;3,00;5,83;21,00;4,67;12,83
2020-11-08;13,00;27,00;7,00;4,00;1,00;3,55;24,82;5,91;15,36
2020-11-15;18,00;26,00;3,00;4,00;3,00;4,50;25,88;4,50;14,63
2020-11-22;19,00;23,00;10,00;4,00;2,00;5,59;22,35;6,71;13,41
2020-11-29;22,00;28,00;3,00;5,00;3,00;5,79;19,68;6,95;13,89
2020-12-06;22,00;27,00;9,00;3,00;3,00;4,40;24,20;5,50;13,20
2020-12-13;27,00;26,00;10,00;5,00;3,00;6,75;22,50;5,63;12,38
2020-12-20;19,00;30,00;1,00;4,00;1,00;4,47;22,35;5,59;14,53
2020-12-27;29,00;29,00;8,00;4,00;2,00;6,96;26,68;3,48;16,24
2021-01-03;27,00;22,00;10,00;5,00;1,00;4,50;23,63;4,50;15,75
2021-01-10;25,00;25,00;6,00;6,00;2,00;6,82;26,14;5,68;14,77
2021-01-17;21,00;14,00;4,00;6,00;3,00;4,67;28,00;4,67;15,17
2021-01-24;19,00;14,00;3,00;5,00;2,00;3,35;17,88;5,59;14,53
2021-01-31;19,00;17,00;6,00;4,00;2,00;6,71;20,12;3,35;13,41
2021-02-07;17,00;8,00;8,00;6,00;2,00;6,07;21,86;6,07;15,79
2021-02-14;18,00;20,00;8,00;5,00;1,00;5,63;21,38;4,50;16,88
2021-02-21;20,00;19,00;8,00;7,00;1,00;4,71;27,06;4,71;18,82
2021-02-28;21,00;18,00;5,00;5,00;3,00;4,67;23,33;4,67;19,83
2021-03-07;26,00;15,00;3,00;5,00;2,00;4,52;20,35;6,78;20,35
2021-03-14;18,00;20,00;2,00;4,00;2,00;7,20;24,00;6,00;21,60
2021-03-21;19,00;22,00;2,00;4,00;3,00;3,35;23,47;4,47;20,12
2021-03-28;20,00;21,00;9,00;7,00;2,00;5,88;27,06;3,53;22,35
2021-04-04;23,00;14,00;4,00;5,00;2,00;4,60;18,40;2,30;20,70
2021-04-11;19,00;28,00;6,00;5,00;2,00;5,59;16,76;2,24;20,12
2021-04-18;24,00;28,00;9,00;4,00;2,00;5,71;26,29;1,14;20,57
2021-04-25;22,00;19,00;2,00;5,00;3,00;5,79;30,11;2,32;20,84
2021-05-02;31,00;34,00;8,00;4,00;2,00;8,04;27,56;2,30;20,67
2021-05-09;31,00;40,00;9,00;6,00;4,00;7,15;42,92;3,58;20,27
2021-05-16;31,00;47,00;7,00;7,00;5,00;10,33;43,63;2,30;21,81
2021-05-23;39,00;43,00;11,00;9,00;2,00;10,32;52,76;3,44;21,79
2021-05-30;45,00;74,00;12,00;14,00;4,00;13,85;66,92;3,46;24,23
2021-06-06;49,00;77,00;23,00;11,00;4,00;14,81;68,37;4,56;22,79
2021-06-13;69,00;76,00;9,00;15,00;6,00;16,37;107,59;3,51;24,56
2021-06-20;53,00;57,00;10,00;14,00;5,00;16,13;78,35;3,46;23,04
