Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;16,00;13,00;5,00;3,00;2,40;67,20;4,80;7,20
2019-01-13;13,00;23,00;9,00;6,00;7,00;2,60;72,80;5,20;5,20
2019-01-20;15,00;20,00;12,00;6,00;8,00;5,00;60,00;5,00;7,50
2019-01-27;19,00;23,00;16,00;10,00;7,00;7,13;40,38;4,75;7,13
2019-02-03;22,00;21,00;15,00;11,00;13,00;7,33;48,89;4,89;4,89
2019-02-10;24,00;18,00;9,00;12,00;12,00;9,60;45,60;2,40;7,20
2019-02-17;27,00;19,00;13,00;9,00;12,00;7,36;44,18;4,91;7,36
2019-02-24;26,00;23,00;14,00;9,00;12,00;7,09;37,82;4,73;7,09
2019-03-03;23,00;13,00;15,00;8,00;13,00;9,20;46,00;4,60;6,90
2019-03-10;29,00;9,00;24,00;11,00;16,00;12,08;50,75;4,83;7,25
2019-03-17;24,00;17,00;25,00;11,00;17,00;9,60;40,80;7,20;9,60
2019-03-24;29,00;21,00;8,00;12,00;20,00;14,50;60,42;7,25;9,67
2019-03-31;20,00;23,00;15,00;8,00;12,00;7,50;67,50;7,50;10,00
2019-04-07;21,00;19,00;20,00;10,00;13,00;7,00;70,00;7,00;9,33
2019-04-14;21,00;29,00;22,00;14,00;19,00;4,67;84,00;9,33;11,67
2019-04-21;22,00;20,00;22,00;10,00;10,00;9,78;105,11;7,33;12,22
2019-04-28;22,00;29,00;19,00;7,00;16,00;7,33;85,56;9,78;12,22
2019-05-05;20,00;20,00;19,00;10,00;12,00;10,00;80,00;7,50;12,50
2019-05-12;17,00;28,00;16,00;9,00;19,00;7,29;97,14;7,29;14,57
2019-05-19;23,00;23,00;11,00;11,00;17,00;6,90;87,40;9,20;18,40
2019-05-26;27,00;44,00;37,00;14,00;17,00;9,82;120,27;9,82;17,18
2019-06-02;29,00;29,00;27,00;17,00;22,00;14,50;125,67;9,67;16,92
2019-06-09;26,00;38,00;25,00;18,00;26,00;16,55;106,36;9,45;18,91
2019-06-16;28,00;40,00;31,00;15,00;29,00;20,36;119,64;12,73;22,91
2019-06-23;31,00;56,00;20,00;16,00;29,00;16,69;121,62;11,92;23,85
2019-06-30;40,00;47,00;34,00;12,00;35,00;18,82;124,71;9,41;23,53
2019-07-07;40,00;63,00;21,00;15,00;38,00;16,47;162,35;14,12;21,18
2019-07-14;47,00;56,00;41,00;19,00;40,00;17,32;207,79;17,32;22,26
2019-07-21;49,00;79,00;60,00;23,00;43,00;19,60;193,55;17,15;22,05
2019-07-28;55,00;63,00;48,00;19,00;44,00;21,52;181,74;16,74;19,13
2019-08-04;54,00;54,00;35,00;17,00;47,00;24,55;174,27;14,73;17,18
2019-08-11;46,00;37,00;31,00;17,00;41,00;26,63;142,84;14,53;14,53
2019-08-18;42,00;39,00;15,00;16,00;34,00;14,82;148,24;17,29;14,82
2019-08-25;27,00;38,00;16,00;12,00;19,00;12,27;98,18;14,73;14,73
2019-09-01;20,00;19,00;12,00;10,00;18,00;10,00;67,50;10,00;12,50
2019-09-08;16,00;24,00;13,00;10,00;9,00;6,86;54,86;6,86;9,14
2019-09-15;10,00;19,00;10,00;9,00;9,00;5,00;52,50;5,00;10,00
2019-09-22;11,00;13,00;17,00;6,00;9,00;2,20;35,20;4,40;8,80
2019-09-29;8,00;13,00;7,00;7,00;8,00;5,33;34,67;5,33;10,67
2019-10-06;5,00;14,00;7,00;6,00;6,00;2,50;37,50;2,50;10,00
2019-10-13;5,00;11,00;5,00;5,00;7,00;2,50;32,50;2,50;7,50
2019-10-20;7,00;15,00;6,00;6,00;6,00;2,33;42,00;4,67;7,00
2019-10-27;4,00;10,00;4,00;3,00;7,00;2,00;26,00;2,00;4,00
2019-11-03;3,00;8,00;10,00;4,00;4,00;3,00;42,00;3,00;6,00
2019-11-10;5,00;9,00;2,00;5,00;5,00;2,50;25,00;2,50;5,00
2019-11-17;4,00;13,00;8,00;5,00;6,00;1,00;28,00;2,00;4,00
2019-11-24;6,00;9,00;5,00;4,00;3,00;1,00;20,00;2,00;4,00
2019-12-01;4,00;10,00;4,00;3,00;4,00;2,00;26,00;2,00;2,00
2019-12-08;5,00;7,00;4,00;4,00;3,00;1,25;32,50;2,50;2,50
2019-12-15;4,00;7,00;4,00;4,00;4,00;1,00;24,00;2,00;2,00
2019-12-22;6,00;13,00;3,00;5,00;6,00;2,00;38,00;2,00;4,00
2019-12-29;10,00;11,00;7,00;7,00;4,00;2,50;62,50;5,00;7,50
2020-01-05;11,00;13,00;15,00;7,00;8,00;5,50;85,25;8,25;8,25
2020-01-12;13,00;11,00;9,00;8,00;4,00;5,20;88,40;7,80;7,80
2020-01-19;15,00;15,00;8,00;9,00;8,00;5,00;70,00;5,00;7,50
2020-01-26;14,00;22,00;9,00;6,00;9,00;2,33;58,33;4,67;7,00
2020-02-02;16,00;11,00;8,00;8,00;7,00;4,57;54,86;4,57;6,86
2020-02-09;17,00;12,00;10,00;6,00;7,00;4,86;46,14;4,86;7,29
2020-02-16;18,00;14,00;14,00;6,00;9,00;5,14;51,43;2,57;7,71
2020-02-23;15,00;8,00;7,00;6,00;11,00;2,50;50,00;5,00;7,50
2020-03-01;13,00;19,00;9,00;5,00;10,00;2,60;46,80;5,20;7,80
2020-03-08;11,00;13,00;9,00;6,00;7,00;2,20;37,40;2,20;6,60
2020-03-15;5,00;9,00;4,00;6,00;2,00;1,25;35,00;2,50;7,50
2020-03-22;4,00;5,00;3,00;4,00;3,00;1,00;46,00;2,00;4,00
2020-03-29;5,00;7,00;9,00;3,00;2,00;1,25;47,50;1,25;5,00
2020-04-05;8,00;6,00;6,00;1,00;2,00;1,33;42,67;2,67;5,33
2020-04-12;6,00;10,00;9,00;4,00;2,00;3,00;45,00;3,00;6,00
2020-04-19;6,00;12,00;16,00;4,00;2,00;3,00;66,00;3,00;9,00
2020-04-26;4,00;5,00;21,00;5,00;3,00;2,00;60,00;2,00;8,00
2020-05-03;7,00;8,00;17,00;8,00;4,00;2,33;107,33;2,33;11,67
2020-05-10;9,00;5,00;12,00;13,00;4,00;2,25;101,25;2,25;15,75
2020-05-17;13,00;20,00;17,00;14,00;9,00;4,33;99,67;2,17;19,50
2020-05-24;20,00;10,00;29,00;16,00;15,00;5,00;125,00;2,50;22,50
