Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;46,00;29,00;14,00;5,00;100,00;41,67;54,17;12,50
2019-01-13;31,00;62,00;16,00;11,00;8,00;104,63;34,88;50,38;7,75
2019-01-20;32,00;67,00;36,00;11,00;8,00;100,00;32,00;56,00;12,00
2019-01-27;33,00;47,00;31,00;13,00;7,00;86,63;33,00;49,50;12,38
2019-02-03;36,00;62,00;31,00;10,00;9,00;76,00;32,00;52,00;12,00
2019-02-10;39,00;49,00;23,00;10,00;8,00;97,50;39,00;50,70;11,70
2019-02-17;43,00;54,00;32,00;10,00;8,00;97,73;39,09;54,73;11,73
2019-02-24;51,00;57,00;28,00;10,00;6,00;109,85;39,23;54,92;11,77
2019-03-03;40,00;43,00;23,00;11,00;9,00;96,00;44,00;56,00;12,00
2019-03-10;34,00;37,00;31,00;10,00;6,00;123,25;34,00;59,50;12,75
2019-03-17;44,00;63,00;21,00;9,00;10,00;116,00;32,00;60,00;12,00
2019-03-24;42,00;44,00;30,00;10,00;8,00;130,20;42,00;54,60;12,60
2019-03-31;40,00;48,00;22,00;15,00;6,00;128,00;52,00;52,00;12,00
2019-04-07;40,00;45,00;33,00;14,00;9,00;148,00;40,00;64,00;12,00
2019-04-14;42,00;61,00;36,00;14,00;7,00;147,00;37,80;71,40;12,60
2019-04-21;49,00;31,00;30,00;11,00;10,00;163,33;53,08;57,17;12,25
2019-04-28;41,00;35,00;46,00;14,00;7,00;147,60;49,20;61,50;12,30
2019-05-05;37,00;49,00;32,00;16,00;5,00;135,67;28,78;65,78;12,33
2019-05-12;38,00;46,00;27,00;10,00;5,00;152,00;46,44;63,33;12,67
2019-05-19;35,00;59,00;29,00;13,00;13,00;120,56;46,67;66,11;11,67
2019-05-26;42,00;70,00;43,00;12,00;7,00;151,20;67,20;75,60;16,80
2019-06-02;43,00;66,00;24,00;13,00;9,00;179,82;46,91;66,45;15,64
2019-06-09;37,00;76,00;42,00;16,00;7,00;197,33;45,22;57,56;12,33
2019-06-16;42,00;64,00;35,00;17,00;7,00;218,40;37,80;71,40;16,80
2019-06-23;42,00;54,00;43,00;8,00;10,00;231,00;50,40;71,40;16,80
2019-06-30;51,00;100,00;21,00;14,00;11,00;247,15;62,77;66,69;15,69
2019-07-07;48,00;83,00;29,00;18,00;11,00;244,00;64,00;72,00;16,00
2019-07-14;58,00;99,00;42,00;17,00;12,00;248,57;66,29;74,57;12,43
2019-07-21;54,00;67,00;51,00;13,00;7,00;265,85;74,77;70,62;16,62
2019-07-28;57,00;78,00;44,00;17,00;9,00;285,00;69,21;77,36;16,29
2019-08-04;60,00;65,00;59,00;17,00;15,00;332,00;76,00;72,00;16,00
2019-08-11;68,00;67,00;28,00;13,00;9,00;352,00;64,00;76,00;16,00
2019-08-18;52,00;76,00;18,00;17,00;10,00;244,00;76,00;80,00;12,00
2019-08-25;50,00;65,00;39,00;13,00;8,00;187,50;50,00;75,00;12,50
