Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;56,00;15,00;74,00;84,00;3,00;105,95;1,51;19,68;16,65
2019-01-13;47,00;13,00;54,00;74,00;2,00;97,03;4,55;18,19;16,68
2019-01-20;48,00;12,00;64,00;62,00;3,00;92,90;4,65;13,94;15,48
2019-01-27;31,00;9,00;54,00;65,00;2,00;83,70;3,10;20,15;13,95
2019-02-03;18,00;2,00;43,00;47,00;1,00;72,00;0,00;13,50;13,50
2019-02-10;27,00;7,00;36,00;62,00;4,00;79,41;4,76;15,88;17,47
2019-02-17;24,00;13,00;52,00;61,00;1,00;75,00;4,50;21,00;15,00
2019-02-24;36,00;9,00;44,00;53,00;3,00;76,70;6,26;23,48;14,09
2019-03-03;20,00;7,00;44,00;51,00;1,00;76,92;3,08;18,46;24,62
2019-03-10;29,00;9,00;25,00;44,00;2,00;65,63;0,00;15,26;15,26
2019-03-17;25,00;11,00;26,00;50,00;3,00;96,88;7,81;25,00;17,19
2019-03-24;26,00;5,00;54,00;50,00;4,00;131,53;1,53;38,24;50,47
2019-03-31;33,00;22,00;33,00;41,00;4,00;57,00;4,50;15,00;15,00
2019-04-07;40,00;25,00;57,00;46,00;6,00;64,62;1,54;18,46;10,77
2019-04-14;48,00;12,00;69,00;43,00;2,00;66,58;3,10;17,03;12,39
2019-04-21;45,00;9,00;38,00;52,00;2,00;86,90;7,76;17,07;10,86
2019-04-28;43,00;13,00;65,00;43,00;5,00;75,25;3,07;18,43;19,96
2019-05-05;38,00;10,00;46,00;47,00;7,00;88,16;1,52;21,28;13,68
2019-05-12;35,00;11,00;39,00;50,00;5,00;70,00;1,52;24,35;12,17
2019-05-19;31,00;15,00;51,00;44,00;4,00;79,05;10,85;21,70;12,40
2019-05-26;35,00;8,00;42,00;42,00;2,00;74,57;4,57;21,30;12,17
2019-06-02;49,00;10,00;45,00;51,00;9,00;153,13;6,13;67,38;30,63
2019-06-09;40,00;26,00;50,00;54,00;4,00;90,77;4,62;23,08;13,85
2019-06-16;35,00;30,00;40,00;61,00;6,00;114,55;1,59;23,86;14,32
2019-06-23;37,00;18,00;29,00;53,00;3,00;109,46;1,54;26,21;12,33
2019-06-30;35,00;16,00;47,00;54,00;4,00;114,13;4,57;22,83;12,17
2019-07-07;56,00;18,00;70,00;69,00;5,00;140,76;6,05;37,84;43,89
