Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;65,00;16,00;18,00;36,00;55,00;14,00;43,00;42,00;1,00
2019-01-13;64,00;20,00;14,00;27,00;46,00;17,00;42,00;37,00;2,00
2019-01-20;54,00;14,00;14,00;30,00;45,00;19,00;38,00;32,00;1,00
2019-01-27;45,00;9,00;12,00;30,00;31,00;12,00;29,00;28,00;1,00
2019-02-03;44,00;12,00;8,00;29,00;32,00;9,00;23,00;33,00;1,00
2019-02-10;50,00;10,00;10,00;30,00;37,00;9,00;25,00;33,00;1,00
2019-02-17;44,00;9,00;11,00;29,00;39,00;11,00;22,00;39,00;1,00
2019-02-24;49,00;12,00;13,00;27,00;39,00;8,00;31,00;29,00;1,00
2019-03-03;62,00;11,00;10,00;28,00;33,00;10,00;32,00;33,00;1,00
2019-03-10;46,00;10,00;12,00;26,00;38,00;16,00;28,00;29,00;1,00
2019-03-17;51,00;16,00;12,00;38,00;47,00;12,00;36,00;54,00;1,00
2019-03-24;51,00;12,00;14,00;33,00;44,00;15,00;28,00;37,00;1,00
2019-03-31;68,00;13,00;15,00;32,00;48,00;15,00;41,00;30,00;1,00
2019-04-07;67,00;19,00;15,00;29,00;50,00;17,00;33,00;31,00;1,00
2019-04-14;57,00;24,00;21,00;27,00;55,00;9,00;29,00;28,00;1,00
2019-04-21;42,00;21,00;17,00;31,00;57,00;17,00;37,00;27,00;2,00
2019-04-28;44,00;17,00;16,00;26,00;44,00;13,00;41,00;25,00;2,00
2019-05-05;64,00;18,00;18,00;21,00;42,00;12,00;29,00;26,00;2,00
2019-05-12;49,00;15,00;16,00;30,00;43,00;11,00;24,00;29,00;1,00
2019-05-19;49,00;16,00;19,00;27,00;41,00;11,00;30,00;31,00;1,00
2019-05-26;51,00;12,00;19,00;23,00;52,00;10,00;30,00;34,00;1,00
2019-06-02;44,00;21,00;14,00;27,00;45,00;12,00;26,00;28,00;2,00
2019-06-09;47,00;14,00;18,00;27,00;45,00;11,00;24,00;29,00;1,00
2019-06-16;50,00;13,00;18,00;28,00;49,00;13,00;21,00;29,00;1,00
2019-06-23;45,00;14,00;11,00;23,00;45,00;14,00;28,00;26,00;1,00
2019-06-30;60,00;9,00;17,00;29,00;47,00;12,00;27,00;30,00;1,00
2019-07-07;62,00;16,00;19,00;32,00;48,00;13,00;43,00;32,00;2,00
2019-07-14;75,00;10,00;18,00;32,00;71,00;11,00;41,00;34,00;1,00
2019-07-21;49,00;14,00;17,00;30,00;57,00;14,00;34,00;34,00;1,00
2019-07-28;86,00;18,00;19,00;31,00;59,00;15,00;31,00;34,00;1,00
2019-08-04;59,00;7,00;17,00;34,00;65,00;15,00;34,00;35,00;1,00
2019-08-11;51,00;13,00;15,00;34,00;67,00;18,00;39,00;38,00;1,00
2019-08-18;47,00;13,00;14,00;34,00;64,00;18,00;32,00;35,00;1,00
2019-08-25;61,00;11,00;16,00;34,00;55,00;17,00;21,00;37,00;1,00
2019-09-01;57,00;13,00;14,00;30,00;52,00;19,00;39,00;30,00;1,00
