Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;26,00;34,00;55,00;40,00;51,00;45,76;36,40;52,00;20,80
2019-01-13;28,00;38,00;58,00;41,00;53,00;48,46;34,46;53,85;22,62
2019-01-20;29,00;35,00;57,00;38,00;54,00;45,11;32,22;49,41;22,56
2019-01-27;28,00;32,00;54,00;40,00;59,00;44,59;33,19;43,56;20,74
2019-02-03;31,00;37,00;54,00;37,00;62,00;43,40;35,13;46,50;22,73
2019-02-10;31,00;37,00;54,00;35,00;59,00;46,50;32,03;44,43;22,73
2019-02-17;31,00;33,00;59,00;36,00;62,00;47,03;33,14;45,97;24,59
2019-02-24;32,00;38,00;56,00;34,00;66,00;51,20;32,00;44,80;23,47
2019-03-03;31,00;36,00;53,00;35,00;58,00;49,17;31,00;45,97;25,66
2019-03-10;29,00;32,00;55,00;35,00;62,00;49,41;32,22;44,04;27,93
2019-03-17;30,00;33,00;55,00;35,00;64,00;51,43;28,93;45,00;24,64
2019-03-24;30,00;33,00;54,00;34,00;64,00;51,72;31,03;43,45;24,83
2019-03-31;31,00;33,00;52,00;32,00;60,00;50,24;34,21;43,83;25,66
2019-04-07;31,00;36,00;56,00;34,00;65,00;54,52;33,14;50,24;23,52
2019-04-14;31,00;35,00;56,00;33,00;62,00;51,67;28,93;43,40;22,73
2019-04-21;28,00;28,00;52,00;33,00;56,00;57,08;28,00;45,23;23,69
2019-04-28;29,00;32,00;54,00;34,00;58,00;48,68;34,18;45,57;23,82
2019-05-05;26,00;33,00;50,00;34,00;62,00;53,04;30,16;45,76;23,92
2019-05-12;26,00;33,00;52,00;36,00;62,00;47,84;31,20;44,72;24,96
2019-05-19;28,00;30,00;51,00;35,00;63,00;48,74;30,07;50,81;28,00
2019-05-26;30,00;32,00;54,00;36,00;68,00;50,69;31,03;50,69;28,97
2019-06-02;29,00;31,00;57,00;36,00;72,00;68,74;31,15;48,33;29,00
2019-06-09;29,00;33,00;57,00;41,00;75,00;72,50;31,07;48,68;27,96
2019-06-16;30,00;36,00;60,00;40,00;81,00;78,62;31,03;49,66;30,00
2019-06-23;31,00;38,00;53,00;38,00;83,00;81,24;31,00;53,45;31,00
2019-06-30;30,00;40,00;61,00;40,00;89,00;84,64;36,43;50,36;32,14
2019-07-07;33,00;44,00;67,00;41,00;92,00;79,41;39,19;51,56;29,91
2019-07-14;35,00;45,00;71,00;42,00;91,00;81,32;38,09;48,38;29,85
2019-07-21;35,00;49,00;63,00;42,00;94,00;85,44;39,12;51,47;30,88
2019-07-28;39,00;46,00;66,00;43,00;96,00;89,59;41,11;54,81;29,51
2019-08-04;39,00;40,00;63,00;44,00;100,00;96,97;41,11;51,65;28,46
2019-08-11;40,00;40,00;57,00;41,00;96,00;97,89;43,16;51,58;27,37
2019-08-18;35,00;39,00;54,00;42,00;87,00;84,85;37,12;51,97;25,45
2019-08-25;30,00;36,00;56,00;40,00;74,00;66,43;32,14;49,29;25,71
2019-09-01;30,00;34,00;54,00;37,00;70,00;53,79;32,07;53,79;24,83
2019-09-08;29,00;36,00;55,00;39,00;59,00;55,85;33,30;59,07;24,70
2019-09-15;28,00;32,00;53,00;38,00;58,00;46,67;31,11;57,04;24,89
2019-09-22;27,00;31,00;53,00;38,00;59,00;42,58;30,12;55,04;25,96
2019-09-29;27,00;27,00;56,00;37,00;61,00;40,50;30,12;51,92;25,96
2019-10-06;27,00;27,00;55,00;36,00;58,00;40,50;33,23;55,04;23,88
2019-10-13;26,00;30,00;47,00;34,00;58,00;39,52;31,20;49,92;22,88
2019-10-20;27,00;30,00;45,00;33,00;55,00;39,46;30,12;48,81;21,81
2019-10-27;26,00;35,00;45,00;31,00;53,00;40,08;31,42;46,58;21,67
2019-11-03;25,00;33,00;39,00;31,00;47,00;35,42;28,13;44,79;21,88
2019-11-10;23,00;32,00;42,00;30,00;48,00;39,73;27,18;42,86;20,91
2019-11-17;25,00;31,00;42,00;31,00;50,00;38,04;27,17;45,65;22,83
2019-11-24;22,00;28,00;39,00;27,00;48,00;36,67;25,14;41,90;23,05
2019-12-01;24,00;30,00;39,00;27,00;48,00;40,36;27,27;41,45;22,91
2019-12-08;22,00;30,00;40,00;27,00;44,00;36,67;25,14;37,71;23,05
2019-12-15;23,00;27,00;42,00;27,00;41,00;36,59;24,05;41,82;25,09
2019-12-22;28,00;31,00;56,00;38,00;44,00;48,46;34,46;51,69;31,23
