Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;34,00;19,27;21,53;17,00;28,33;4,00;19,00;37,00;11,00
2019-01-13;41,00;66,49;53,19;26,59;41,00;14,00;14,00;19,00;4,00
2019-01-20;52,00;27,66;53,11;24,34;58,64;10,00;14,00;22,00;2,00
2019-01-27;45,00;8,78;0,00;23,05;37,32;19,00;37,00;13,00;3,00
2019-02-03;51,00;48,78;55,43;26,61;45,46;16,00;29,00;16,00;2,00
2019-02-10;43,00;18,74;22,05;13,23;78,28;16,00;24,00;29,00;1,00
2019-02-17;56,00;10,08;22,40;21,28;77,28;8,00;40,00;17,00;4,00
2019-02-24;53,00;19,88;56,31;24,29;62,94;10,00;24,00;24,00;2,00
2019-03-03;40,00;10,00;21,11;17,78;50,00;15,00;10,00;21,00;3,00
2019-03-10;42,00;0,00;22,11;17,68;68,53;20,00;28,00;26,00;3,00
2019-03-17;53,00;58,52;45,27;33,13;72,88;13,00;29,00;20,00;3,00
2019-03-24;54,00;20,25;22,50;20,25;56,25;12,00;15,00;25,00;5,00
2019-03-31;41,00;28,81;22,16;16,62;54,30;10,00;29,00;26,00;6,00
2019-04-07;52,00;19,91;9,96;24,34;70,81;8,00;24,00;20,00;5,00
2019-04-14;56,00;21,28;12,32;14,56;28,00;4,00;20,00;24,00;3,00
2019-04-21;48,00;49,12;12,28;15,63;58,05;19,00;20,00;26,00;4,00
2019-04-28;49,00;27,84;0,00;10,02;41,20;16,00;23,00;16,00;5,00
2019-05-05;53,00;27,60;11,04;13,25;64,04;19,00;9,00;17,00;2,00
2019-05-12;39,00;10,03;64,63;16,71;57,94;15,00;47,00;22,00;2,00
2019-05-19;41,00;46,69;54,67;18,22;60,36;11,00;23,00;38,00;4,00
2019-05-26;55,00;27,50;46,20;6,60;57,20;7,00;28,00;31,00;8,00
2019-06-02;43,00;25,36;54,03;20,95;80,49;12,00;39,00;40,00;3,00
2019-06-09;52,00;61,96;32,09;22,13;64,17;16,00;54,00;29,00;3,00
2019-06-16;63,00;27,63;33,16;23,21;91,74;12,00;14,00;24,00;2,00
2019-06-23;63,00;30,38;23,63;10,13;84,38;16,00;19,00;38,00;4,00
2019-06-30;46,00;29,57;55,86;30,67;82,14;18,00;19,00;32,00;4,00
2019-07-07;49,00;28,95;23,39;11,14;81,30;18,00;28,00;29,00;4,00
2019-07-14;61,00;41,04;12,20;27,73;110,91;27,00;29,00;23,00;4,00
2019-07-21;62,00;43,18;53,14;24,36;101,86;17,00;46,00;21,00;3,00
2019-07-28;64,00;31,44;13,47;24,70;103,30;33,00;15,00;19,00;5,00
