Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;75,00;58,13;101,25;24,38;16,88;22,00;42,00;37,00;17,00
2019-01-13;69,00;55,95;104,43;22,38;14,92;16,00;35,00;30,00;17,00
2019-01-20;85,00;49,11;79,33;17,00;17,00;20,00;37,00;29,00;15,00
2019-01-27;85,00;35,11;101,63;20,33;20,33;16,00;31,00;23,00;15,00
2019-02-03;90,00;35,63;95,63;20,63;20,63;17,00;33,00;26,00;12,00
2019-02-10;91,00;29,71;122,57;22,29;20,43;17,00;28,00;23,00;14,00
2019-02-17;87,00;24,59;119,15;17,02;17,02;18,00;18,00;18,00;15,00
2019-02-24;59,00;42,41;99,56;12,91;14,75;12,00;28,00;17,00;11,00
2019-03-03;57,00;43,70;55,10;11,40;13,30;12,00;21,00;15,00;10,00
2019-03-10;37,00;33,30;59,20;11,10;11,10;10,00;15,00;13,00;9,00
2019-03-17;31,00;16,41;56,53;7,29;7,29;6,00;12,00;9,00;7,00
2019-03-24;24,00;11,08;33,23;5,54;3,69;4,00;13,00;12,00;6,00
2019-03-31;18,00;19,80;28,80;3,60;3,60;6,00;10,00;9,00;4,00
2019-04-07;18,00;10,80;16,20;1,80;5,40;6,00;5,00;10,00;3,00
2019-04-14;16,00;12,44;10,67;1,78;3,56;5,00;1,00;6,00;2,00
2019-04-21;5,00;1,67;18,33;1,67;3,33;5,00;4,00;5,00;2,00
2019-04-28;6,00;4,00;6,00;2,00;4,00;2,00;4,00;6,00;2,00
2019-05-05;5,00;6,67;8,33;0,83;0,83;5,00;2,00;6,00;2,00
2019-05-12;5,00;3,33;5,00;0,83;1,67;2,00;2,00;5,00;2,00
2019-05-19;5,00;8,33;5,00;0,83;3,33;2,00;3,00;4,00;2,00
2019-05-26;4,00;4,00;8,00;1,00;2,00;2,00;4,00;4,00;2,00
2019-06-02;5,00;5,00;5,00;0,83;1,67;2,00;5,00;4,00;2,00
2019-06-09;4,00;4,00;6,00;1,00;2,00;3,00;5,00;6,00;2,00
2019-06-16;5,00;12,50;7,50;1,25;2,50;2,00;5,00;5,00;2,00
2019-06-23;4,00;6,00;8,00;2,00;4,00;4,00;4,00;4,00;2,00
2019-06-30;6,00;4,00;2,00;2,00;2,00;3,00;2,00;5,00;2,00
2019-07-07;7,00;11,67;9,33;2,33;2,33;2,00;8,00;5,00;2,00
2019-07-14;8,00;8,00;10,00;2,00;2,00;2,00;7,00;5,00;2,00
2019-07-21;8,00;8,00;12,00;2,00;4,00;2,00;2,00;6,00;3,00
2019-07-28;10,00;15,00;11,67;1,67;1,67;4,00;5,00;7,00;2,00
2019-08-04;11,00;5,50;12,83;1,83;3,67;4,00;8,00;6,00;3,00
2019-08-11;16,00;16,00;7,11;1,78;1,78;4,00;14,00;8,00;3,00
2019-08-18;12,00;15,43;17,14;3,43;1,71;4,00;13,00;6,00;3,00
