Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;79,00;53,00;35,00;36,00;7,00;46,97;106,76;213,51;91,81
2019-01-13;80,00;44,00;32,00;41,00;9,00;30,27;88,65;185,95;82,16
2019-01-20;92,00;75,00;32,00;35,00;16,00;25,67;62,05;166,88;83,44
2019-01-27;81,00;68,00;35,00;40,00;8,00;29,84;78,87;155,61;78,87
2019-02-03;90,00;35,00;26,00;30,00;13,00;34,29;45,00;147,86;77,14
2019-02-10;97,00;58,00;33,00;29,00;11,00;38,80;53,89;125,02;71,13
2019-02-17;97,00;58,00;30,00;22,00;8,00;30,18;53,89;142,27;84,07
2019-02-24;100,00;58,00;7,00;25,00;10,00;31,91;68,09;127,66;80,85
2019-03-03;83,00;36,00;35,00;28,00;17,00;29,79;31,92;127,69;76,62
2019-03-10;62,00;38,00;22,00;26,00;8,00;32,07;59,86;126,14;79,10
2019-03-17;79,00;62,00;34,00;30,00;10,00;29,89;44,84;123,84;68,32
2019-03-24;71,00;37,00;22,00;29,00;17,00;25,82;30,12;124,79;75,30
2019-03-31;73,00;38,00;22,00;21,00;14,00;32,21;62,26;137,41;70,85
2019-04-07;70,00;23,00;48,00;29,00;14,00;21,21;46,67;131,52;57,27
2019-04-14;66,00;24,00;20,00;22,00;8,00;29,81;55,35;136,26;53,23
2019-04-21;61,00;23,00;20,00;27,00;9,00;34,86;58,82;156,86;67,54
2019-04-28;66,00;48,00;28,00;23,00;14,00;27,68;85,16;149,03;55,35
2019-05-05;53,00;36,00;31,00;26,00;12,00;31,80;55,12;150,52;57,24
2019-05-12;45,00;66,00;11,00;32,00;21,00;32,14;68,57;167,14;55,71
2019-05-19;63,00;33,00;25,00;31,00;23,00;35,70;67,20;172,20;50,40
2019-05-26;49,00;76,00;53,00;30,00;20,00;36,22;42,61;161,91;66,04
2019-06-02;59,00;48,00;18,00;39,00;19,00;50,57;63,21;172,79;63,21
2019-06-09;59,00;65,00;39,00;43,00;21,00;44,25;69,54;172,79;63,21
2019-06-16;60,00;58,00;47,00;43,00;22,00;51,43;47,14;195,00;66,43
2019-06-23;64,00;66,00;61,00;45,00;26,00;44,80;61,87;177,07;55,47
2019-06-30;68,00;72,00;45,00;44,00;25,00;55,25;55,25;184,88;53,13
2019-07-07;72,00;74,00;45,00;45,00;22,00;59,29;93,18;167,29;61,41
2019-07-14;89,00;65,00;49,00;40,00;22,00;55,10;76,29;190,71;59,33
2019-07-21;84,00;64,00;70,00;45,00;21,00;56,00;62,46;187,38;58,15
2019-07-28;85,00;69,00;30,00;35,00;26,00;55,25;91,38;182,75;55,25
2019-08-04;95,00;47,00;44,00;46,00;27,00;53,98;92,84;174,89;56,14
2019-08-11;97,00;65,00;33,00;32,00;22,00;43,11;62,51;168,13;51,73
2019-08-18;71,00;67,00;32,00;26,00;15,00;47,33;60,24;148,45;51,64
2019-08-25;67,00;38,00;21,00;31,00;20,00;28,10;71,32;162,10;45,39
2019-09-01;53,00;62,00;41,00;30,00;17,00;25,44;63,60;148,40;48,76
2019-09-08;57,00;34,00;14,00;22,00;23,00;19,00;23,22;137,22;44,33
2019-09-15;46,00;28,00;32,00;26,00;20,00;23,00;33,45;146,36;48,09
2019-09-22;56,00;38,00;38,00;28,00;15,00;15,08;43,08;180,92;47,38
2019-09-29;52,00;47,00;36,00;26,00;12,00;15,17;41,17;127,83;47,67
2019-10-06;44,00;33,00;29,00;22,00;15,00;16,76;33,52;113,14;44,00
2019-10-13;45,00;18,00;25,00;24,00;10,00;12,86;51,43;98,57;45,00
2019-10-20;38,00;24,00;24,00;26,00;11,00;12,67;48,56;86,56;50,67
2019-10-27;42,00;24,00;14,00;26,00;10,00;13,26;30,95;95,05;42,00
2019-11-03;50,00;38,00;27,00;26,00;7,00;15,22;41,30;86,96;54,35
2019-11-10;42,00;30,00;14,00;17,00;9,00;14,70;29,40;77,70;46,20
2019-11-17;35,00;18,00;20,00;18,00;8,00;10,94;45,94;85,31;45,94
2019-11-24;39,00;25,00;17,00;20,00;10,00;15,17;32,50;69,33;52,00
2019-12-01;41,00;41,00;41,00;21,00;7,00;17,26;36,68;79,84;53,95
2019-12-08;37,00;31,00;21,00;18,00;10,00;13,06;43,53;71,82;54,41
2019-12-15;43,00;46,00;38,00;18,00;4,00;15,05;49,45;77,40;53,75
2019-12-22;59,00;43,00;12,00;28,00;9,00;18,96;65,32;122,21;75,86
2019-12-29;78,00;48,00;50,00;31,00;11,00;23,83;62,83;190,67;84,50
2020-01-05;64,00;41,00;46,00;31,00;12,00;32,00;72,53;198,40;91,73
2020-01-12;65,00;51,00;42,00;36,00;11,00;32,50;93,17;195,00;93,17
2020-01-19;81,00;66,00;32,00;38,00;12,00;36,24;70,34;185,45;93,79
2020-01-26;67,00;53,00;26,00;34,00;9,00;23,03;43,97;163,31;71,19
2020-02-02;70,00;39,00;29,00;29,00;10,00;21,21;57,27;142,12;76,36
2020-02-09;57,00;38,00;23,00;27,00;14,00;29,56;50,67;126,67;73,89
2020-02-16;75,00;46,00;59,00;33,00;9,00;23,57;49,29;124,29;81,43
2020-02-23;49,00;35,00;25,00;23,00;12,00;12,78;29,83;102,26;70,30
2020-03-01;37,00;27,00;19,00;17,00;14,00;10,88;43,53;89,24;60,94
2020-03-08;24,00;16,00;15,00;15,00;9,00;2,18;21,82;69,82;63,27
2020-03-15;8,00;5,00;6,00;7,00;3,00;2,00;10,00;38,00;30,00
2020-03-22;9,00;5,00;15,00;10,00;3,00;2,25;6,75;33,75;24,75
2020-03-29;12,00;13,00;6,00;5,00;5,00;4,00;8,00;24,00;22,00
2020-04-05;11,00;0,00;13,00;7,00;2,00;4,40;8,80;55,00;26,40
2020-04-12;9,00;8,00;19,00;9,00;1,00;4,50;4,50;38,25;29,25
2020-04-19;11,00;15,00;24,00;7,00;2,00;2,20;6,60;44,00;24,20
2020-04-26;7,00;20,00;6,00;6,00;2,00;1,17;9,33;49,00;28,00
2020-05-03;9,00;10,00;6,00;7,00;1,00;2,25;4,50;42,75;31,50
2020-05-10;9,00;2,00;12,00;8,00;2,00;4,50;18,00;40,50;31,50
2020-05-17;10,00;10,00;10,00;12,00;3,00;12,50;20,00;55,00;37,50
2020-05-24;16,00;10,00;19,00;11,00;1,00;13,71;18,29;57,14;34,29
2020-05-31;27,00;7,00;12,00;17,00;4,00;6,75;24,75;56,25;36,00
2020-06-07;32,00;17,00;21,00;16,00;3,00;19,20;27,73;49,07;42,67
2020-06-14;31,00;15,00;30,00;18,00;10,00;22,14;19,93;62,00;42,07
2020-06-21;33,00;28,00;29,00;16,00;10,00;35,06;28,88;72,19;39,19
2020-06-28;38,00;20,00;19,00;20,00;10,00;31,67;38,00;71,78;33,78
2020-07-05;35,00;32,00;20,00;27,00;8,00;41,56;48,13;72,19;39,38
