Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;47,00;7,00;16,00;4,00;5,00;1,57;79,90;83,03;6,27
2019-01-13;55,00;10,00;0,00;4,00;2,00;3,06;84,03;74,86;6,11
2019-01-20;67,00;10,00;0,00;3,00;2,00;6,23;110,63;73,23;6,23
2019-01-27;56,00;14,00;20,00;2,00;3,00;6,22;79,33;70,00;4,67
2019-02-03;63,00;7,00;0,00;3,00;4,00;6,30;152,78;91,35;6,30
2019-02-10;57,00;11,00;12,00;1,00;4,00;7,70;154,05;89,35;7,70
2019-02-17;70,00;14,00;8,00;6,00;6,00;6,22;136,89;104,22;6,22
2019-02-24;68,00;4,00;12,00;4,00;3,00;6,18;102,00;86,55;7,73
2019-03-03;70,00;21,00;0,00;3,00;4,00;6,22;94,89;90,22;6,22
2019-03-10;63,00;14,00;24,00;5,00;5,00;6,15;64,54;79,90;6,15
2019-03-17;61,00;14,00;17,00;5,00;2,00;6,10;99,13;86,93;6,10
2019-03-24;73,00;33,00;0,00;5,00;5,00;7,77;110,28;97,85;7,77
2019-03-31;59,00;0,00;24,00;2,00;1,00;1,55;113,34;83,84;6,21
2019-04-07;67,00;22,00;11,00;7,00;3,00;7,79;137,12;87,26;7,79
2019-04-14;70,00;15,00;9,00;7,00;3,00;4,67;127,56;98,00;6,22
2019-04-21;61,00;18,00;0,00;6,00;9,00;7,82;147,03;87,59;6,26
2019-04-28;64,00;10,00;8,00;5,00;11,00;4,68;117,07;87,41;6,24
2019-05-05;58,00;20,00;19,00;5,00;3,00;4,70;97,19;84,65;6,27
2019-05-12;65,00;3,00;16,00;4,00;4,00;9,29;69,64;91,31;7,74
2019-05-19;63,00;3,00;20,00;2,00;3,00;11,03;110,25;99,23;7,88
2019-05-26;69,00;10,00;21,00;4,00;3,00;6,27;92,52;97,23;7,84
2019-06-02;61,00;19,00;28,00;6,00;6,00;3,13;93,85;82,90;7,82
2019-06-09;64,00;7,00;20,00;5,00;4,00;10,93;88,98;93,66;7,80
2019-06-16;65,00;17,00;16,00;7,00;6,00;13,93;126,90;100,60;9,29
2019-06-23;65,00;11,00;13,00;3,00;4,00;6,19;147,02;100,60;9,29
2019-06-30;87,00;18,00;17,00;2,00;4,00;9,32;136,71;93,21;7,77
2019-07-07;84,00;7,00;4,00;3,00;3,00;3,11;135,33;98,00;6,22
2019-07-14;72,00;15,00;18,00;4,00;4,00;1,57;131,48;101,74;7,83
2019-07-21;76,00;20,00;24,00;4,00;5,00;4,65;113,22;100,82;9,31
2019-07-28;93,00;35,00;24,00;6,00;1,00;6,20;122,45;97,65;6,20
2019-08-04;100,00;26,00;9,00;2,00;6,00;3,13;120,31;107,81;7,81
2019-08-11;87,00;7,00;8,00;4,00;6,00;4,66;132,05;107,20;6,21
2019-08-18;84,00;7,00;8,00;4,00;5,00;1,56;127,56;122,89;6,22
2019-08-25;73,00;18,00;8,00;3,00;1,00;1,55;138,23;104,06;6,21
2019-09-01;65,00;17,00;15,00;6,00;5,00;3,10;99,05;78,93;4,64
2019-09-08;60,00;3,00;31,00;2,00;3,00;6,15;84,62;96,92;6,15
2019-09-15;68,00;7,00;19,00;4,00;2,00;4,64;92,73;105,09;4,64
2019-09-22;52,00;20,00;8,00;2,00;8,00;3,15;89,82;92,97;4,73
2019-09-29;64,00;13,00;8,00;1,00;2,00;4,68;115,51;90,54;6,24
2019-10-06;60,00;7,00;16,00;2,00;4,00;3,16;113,68;82,11;6,32
2019-10-13;70,00;10,00;12,00;4,00;6,00;3,11;141,56;85,56;6,22
2019-10-20;71,00;7,00;11,00;3,00;0,00;1,54;120,39;86,43;6,17
2019-10-27;65,00;7,00;19,00;3,00;3,00;1,55;83,57;95,95;4,64
2019-11-03;62,00;23,00;4,00;2,00;2,00;3,10;117,80;82,15;6,20
2019-11-10;57,00;16,00;0,00;1,00;3,00;3,08;97,05;73,95;6,16
2019-11-17;45,00;3,00;4,00;0,50;0,00;1,55;93,10;79,14;6,21
2019-11-24;56,00;16,00;18,00;2,00;0,00;0,00;107,33;82,44;7,78
2019-12-01;52,00;3,00;8,00;3,00;2,00;1,58;94,55;74,06;7,88
