Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;85,00;61,00;63,00;53,00;78,00;65,13;55,19;47,47;28,70
2019-01-13;75,00;48,00;52,00;53,00;72,00;66,18;45,22;46,32;30,88
2019-01-20;71,00;46,00;54,00;47,00;70,00;67,72;42,60;41,51;29,49
2019-01-27;64,00;46,00;57,00;42,00;78,00;67,31;43,03;41,93;28,69
2019-02-03;63,00;33,00;48,00;38,00;74,00;66,32;38,68;39,79;27,63
2019-02-10;65,00;33,00;36,00;37,00;73,00;63,90;36,36;40,76;28,64
2019-02-17;66,00;33,00;32,00;35,00;78,00;63,80;35,20;44,00;30,80
2019-02-24;75,00;40,00;51,00;36,00;80,00;67,39;31,52;39,13;30,43
2019-03-03;61,00;39,00;49,00;35,00;72,00;63,22;34,38;42,15;31,05
2019-03-10;60,00;36,00;50,00;37,00;73,00;65,45;32,73;39,27;28,36
2019-03-17;59,00;30,00;50,00;36,00;77,00;65,56;29,50;40,43;29,50
2019-03-24;62,00;38,00;36,00;34,00;75,00;63,09;28,28;38,07;27,19
2019-03-31;77,00;35,00;45,00;30,00;63,00;60,50;31,90;37,40;29,70
2019-04-07;74,00;45,00;58,00;31,00;78,00;59,64;26,51;46,39;28,72
2019-04-14;72,00;39,00;48,00;33,00;66,00;62,18;29,45;38,18;27,27
2019-04-21;75,00;35,00;35,00;36,00;63,00;61,96;32,61;44,57;27,17
2019-04-28;70,00;37,00;45,00;33,00;62,00;62,34;38,28;39,38;26,25
2019-05-05;67,00;37,00;47,00;31,00;73,00;57,27;37,82;39,98;25,94
2019-05-12;64,00;41,00;50,00;31,00;71,00;59,59;34,21;44,14;27,59
2019-05-19;63,00;41,00;49,00;31,00;71,00;59,74;33,67;42,36;28,24
2019-05-26;62,00;31,00;53,00;30,00;75,00;55,47;31,54;44,60;29,37
2019-06-02;62,00;38,00;38,00;34,00;76,00;64,18;38,07;43,51;32,63
2019-06-09;64,00;48,00;47,00;37,00;80,00;75,03;27,59;43,03;34,21
2019-06-16;69,00;32,00;45,00;37,00;81,00;73,38;33,95;42,71;33,95
2019-06-23;68,00;39,00;48,00;37,00;86,00;77,87;28,52;42,77;32,90
2019-06-30;70,00;52,00;55,00;40,00;97,00;77,66;41,56;47,03;31,72
2019-07-07;72,00;53,00;57,00;46,00;94,00;85,09;41,45;48,00;30,55
2019-07-14;73,00;51,00;43,00;45,00;94,00;79,54;37,04;43,58;30,51
2019-07-21;74,00;52,00;58,00;45,00;100,00;83,79;34,82;45,71;30,47
2019-07-28;96,00;45,00;66,00;44,00;97,00;86,18;49,09;46,91;30,55
2019-08-04;92,00;44,00;54,00;39,00;100,00;87,62;40,52;47,10;28,48
2019-08-11;81,00;51,00;53,00;40,00;91,00;84,28;39,41;47,07;28,46
2019-08-18;68,00;46,00;50,00;39,00;85,00;77,87;41,68;48,26;26,32
2019-08-25;64,00;35,00;55,00;36,00;71,00;66,21;34,21;45,24;25,38
2019-09-01;62,00;44,00;44,00;36,00;79,00;63,09;35,89;45,68;26,11
2019-09-08;60,00;37,00;47,00;36,00;63,00;61,09;29,45;46,91;25,09
2019-09-15;68,00;43,00;42,00;37,00;65,00;55,94;35,10;47,16;26,32
2019-09-22;76,00;53,00;60,00;67,00;75,00;55,37;36,91;49,94;26,06
2019-09-29;58,00;39,00;52,00;39,00;79,00;52,53;35,02;42,68;26,26
2019-10-06;62,00;46,00;57,00;37,00;72,00;50,04;30,46;45,68;25,02
2019-10-13;62,00;40,00;50,00;39,00;70,00;54,39;33,72;43,51;23,93
2019-10-20;62,00;43,00;49,00;35,00;62,00;51,12;28,28;38,07;25,02
2019-10-27;64,00;41,00;46,00;35,00;59,00;46,34;36,41;37,52;24,28
2019-11-03;60,00;44,00;47,00;35,00;64,00;49,09;34,91;36,00;25,09
2019-11-10;54,00;38,00;44,00;32,00;60,00;50,69;33,06;36,37;25,35
2019-11-17;56,00;38,00;42,00;32,00;63,00;53,80;31,84;35,14;26,35
2019-11-24;54,00;36,00;34,00;29,00;61,00;56,20;29,76;34,16;25,35
