Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;24,00;10,00;9,00;6,00;7,00;6,00;7,00;0,50;0,50
2019-01-13;23,00;13,00;5,00;7,00;9,00;8,00;5,00;0,50;0,50
2019-01-20;29,00;11,00;12,00;7,00;8,00;8,00;6,00;1,00;0,50
2019-01-27;27,00;7,00;12,00;6,00;13,00;6,00;2,00;1,00;0,50
2019-02-03;31,00;8,00;9,00;7,00;10,00;7,00;1,00;0,50;0,50
2019-02-10;27,00;6,00;4,00;6,00;10,00;6,00;2,00;0,50;0,50
2019-02-17;29,00;5,00;3,00;6,00;10,00;7,00;1,00;1,00;0,50
2019-02-24;27,00;4,00;6,00;6,00;9,00;7,00;1,00;0,50;0,50
2019-03-03;29,00;5,00;7,00;5,00;11,00;8,00;0,50;1,00;0,50
2019-03-10;23,00;6,00;8,00;7,00;12,00;6,00;1,00;1,00;0,50
2019-03-17;30,00;9,00;8,00;7,00;11,00;8,00;1,00;1,00;0,50
2019-03-24;30,00;8,00;7,00;7,00;9,00;8,00;2,00;1,00;0,50
2019-03-31;30,00;6,00;10,00;6,00;10,00;14,00;4,00;0,50;0,50
2019-04-07;31,00;11,00;8,00;6,00;9,00;8,00;7,00;0,50;0,50
2019-04-14;37,00;9,00;14,00;3,00;10,00;8,00;5,00;1,00;0,50
2019-04-21;28,00;9,00;8,00;5,00;6,00;7,00;8,00;0,50;0,50
2019-04-28;30,00;8,00;7,00;5,00;9,00;9,00;4,00;0,50;0,50
2019-05-05;25,00;7,00;7,00;5,00;12,00;9,00;8,00;1,00;1,00
2019-05-12;28,00;6,00;8,00;6,00;9,00;13,00;7,00;0,50;0,50
2019-05-19;28,00;13,00;8,00;5,00;10,00;12,00;9,00;1,00;1,00
2019-05-26;25,00;7,00;8,00;6,00;10,00;9,00;9,00;1,00;0,50
2019-06-02;28,00;14,00;7,00;6,00;13,00;9,00;4,00;0,50;0,50
2019-06-09;22,00;8,00;6,00;5,00;13,00;11,00;7,00;1,00;0,50
2019-06-16;18,00;10,00;8,00;5,00;11,00;11,00;7,00;1,00;0,50
2019-06-23;20,00;10,00;3,00;6,00;13,00;12,00;6,00;1,00;0,50
2019-06-30;20,00;12,00;5,00;5,00;11,00;10,00;6,00;0,50;0,50
2019-07-07;21,00;10,00;8,00;6,00;14,00;13,00;5,00;0,50;0,50
2019-07-14;22,00;13,00;5,00;6,00;13,00;10,00;7,00;0,50;0,50
2019-07-21;23,00;11,00;4,00;6,00;12,00;15,00;6,00;0,50;0,50
2019-07-28;28,00;10,00;6,00;5,00;12,00;11,00;9,00;1,00;0,50
2019-08-04;28,00;8,00;3,00;6,00;14,00;10,00;6,00;1,00;0,50
2019-08-11;27,00;13,00;9,00;6,00;12,00;9,00;8,00;1,00;0,50
2019-08-18;25,00;12,00;5,00;5,00;10,00;10,00;7,00;1,00;0,50
2019-08-25;22,00;5,00;7,00;6,00;11,00;12,00;6,00;1,00;1,00
2019-09-01;28,00;12,00;10,00;7,00;12,00;11,00;7,00;1,00;1,00
2019-09-08;26,00;19,00;7,00;7,00;13,00;8,00;8,00;1,00;1,00
2019-09-15;24,00;12,00;8,00;5,00;12,00;9,00;6,00;1,00;0,50
2019-09-22;23,00;14,00;8,00;6,00;13,00;9,00;6,00;2,00;0,50
2019-09-29;27,00;13,00;6,00;7,00;13,00;11,00;8,00;1,00;0,50
2019-10-06;28,00;15,00;7,00;7,00;12,00;10,00;5,00;1,00;0,50
2019-10-13;29,00;14,00;9,00;7,00;9,00;11,00;6,00;1,00;0,50
2019-10-20;28,00;12,00;7,00;5,00;10,00;10,00;8,00;1,00;0,50
2019-10-27;31,00;11,00;10,00;6,00;12,00;11,00;4,00;1,00;0,50
2019-11-03;30,00;13,00;5,00;5,00;10,00;9,00;8,00;1,00;0,50
2019-11-10;23,00;10,00;5,00;5,00;9,00;8,00;6,00;1,00;0,50
2019-11-17;22,00;7,00;7,00;4,00;8,00;7,00;6,00;1,00;0,50
2019-11-24;21,00;8,00;7,00;5,00;8,00;8,00;5,00;1,00;0,50
2019-12-01;21,00;6,00;3,00;3,00;8,00;7,00;2,00;1,00;0,50
2019-12-08;23,00;10,00;5,00;5,00;6,00;5,00;4,00;1,00;1,00
2019-12-15;24,00;9,00;3,00;4,00;6,00;6,00;5,00;1,00;0,50
2019-12-22;22,00;6,00;3,00;4,00;6,00;4,00;4,00;1,00;0,50
2019-12-29;20,00;8,00;2,00;5,00;9,00;7,00;8,00;1,00;0,50
